"ncbi_gene_id","gene_symbol","PAAD_fdr_adjusted_p_value","PAAD_cancer_sample_med","PAAD_normal_sample_med","PAAD_log2_fold_change","PAAD_p_value","KIRC_fdr_adjusted_p_value","KIRC_cancer_sample_med","KIRC_normal_sample_med","KIRC_log2_fold_change","KIRC_p_value","BRCA_fdr_adjusted_p_value","BRCA_cancer_sample_med","BRCA_normal_sample_med","BRCA_log2_fold_change","BRCA_p_value","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value"
10,"NAT2",0.0065115,1,1,0,0.0789171538461538,2.0903e-10,1,2.498,-1.32077347694587,6.02392086071383e-10,0.00063789,1,1,0,0.00109097741610738,4.7324e-07,1,1,0,1.10847082291119e-06
100113379,"SNORD121A",0.0094042,1,1,0,0.101408027376426,0.006606,1,1,0,0.01090806910299,0.0017483,1,1,0,0.0028431724101255,8.5806e-05,1,1,0,0.00016695986746988
100113407,"TMEM170B",0.045401,1.446,4.215,-1.54346507887833,0.286399952971084,2.7668e-07,4.261,6.576,-0.626018247503464,6.4635730937957e-07,3.3351e-12,2.54,5.705,-1.16739838951652,1.04767180523216e-11,3.9802e-11,2.965,5.652,-0.930729360900573,1.22455435394809e-10
100124700,"HOTAIR",0.0035349,1,1,0,0.0503406275466284,1.6025e-07,1,1,0,3.80685236325013e-07,1e-20,4.283,1,2.09862167722896,5.02960526315789e-20,6.1892e-07,1,1,0,1.43506762796504e-06
100126329,"MIR941-1",0.025816,1,1,0,0.200672252054794,0.019048,1,1,0,0.0295647167244969,5.9509e-06,1,1,0,1.24574563253012e-05,0.00038014,1,1,0,0.000691945457366874
100128675,"HPN-AS1",0.025076,1,1,0,0.197464796509322,2.1435e-16,1.775,1.1,0.690315500867385,9.11435760456274e-16,1.8265e-07,1,1,0,4.31908212186823e-07,6.4994e-11,1,1,0,1.97373113230685e-10
100128890,"FAM66B",0.0024576,1,1,0,0.03811584,0.027423,1,1,0,0.0415699887495764,0.0031119,1,1,0,0.00491437213385664,0.00027758,1,1,0,0.00051288554634389
100129434,"AC007743.1",0.0097821,1,1,0,0.104349408490059,1e-20,2.765,1.289,1.10102721676042,5.66341093670886e-20,2.0893e-08,1,3.494,-1.80487960825467,5.2541771381579e-08,5.9499e-17,1,4.537,-2.18173865968866,2.62481039786223e-16
100130449,"AC110619.1",0.00021041,1,1,0,0.00597576440629471,0.00051911,1,1,0,0.00095307948284354,1e-20,9.169,2.279,2.00836347293463,5.02960526315789e-20,1.0825e-14,2.209,1,1.14339341869319,4.18703184658105e-14
100130522,"PARD6G-AS1",0.013442,1.268,1.308,-0.0448077953586754,0.130454613880743,0.00034365,3.299,3.436,-0.0587012585735327,0.000640452953920507,9.6092e-12,4.798,3.868,0.310845362816593,2.93888521136151e-11,0.040852,1.385,1.3,0.0913743530207338,0.0550531215382755
100130691,"AC019080.1",0.012978,1,1,0,0.127248869135802,5.3053e-10,1.228,10.512,-3.09765471495215,1.48676030322015e-09,0.011696,1,1,0,0.0172030885653819,3.3908e-05,1,1,0,6.84084001086268e-05
