cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
BRCA,9636,ISG15,1e-20,2.39246841880479
BRCA,8784,TNFRSF18,1e-20,2.27540147830042
BRCA,441869,ANKRD65,1e-20,-1.6427197619563
BRCA,2563,GABRD,1e-20,2.08270258933025
BRCA,9651,PLCH2,2.7707e-19,-2.26360255648177
BRCA,116362,RBP7,1e-20,-2.67242945062767
BRCA,10747,MASP2,2.306e-16,-1.73554701485733
BRCA,10218,ANGPTL7,4.1397e-16,-3.17168721868987
BRCA,27129,HSPB7,2.6776e-11,-4.82154869234663
BRCA,1969,EPHA2,1e-20,-1.60866589774611
BRCA,4237,MFAP2,1e-20,2.03321339114004
BRCA,126917,IFFO2,3.9265000000000003e-19,-1.98462721211722
BRCA,22977,AKR7A3,1e-20,1.63253793298758
BRCA,5322,PLA2G5,3.3695e-17,-1.87499363893297
BRCA,249,ALPL,2.1775e-19,-2.02812496028521
BRCA,1870,E2F2,1e-20,1.9741621677966
BRCA,79000,AUNIP,1e-20,1.80707862309269
BRCA,79927,FAM110D,1e-20,-2.6689166734927
BRCA,388610,TRNP1,2.4329e-18,-1.54022111615029
BRCA,388611,CD164L2,2.8665e-14,-2.01482741767764
BRCA,2537,IFI6,1e-20,2.17786790218279
BRCA,79570,NKAIN1,1e-20,3.98255825704087
BRCA,64129,TINAGL1,1e-20,-2.17417033123923
BRCA,63967,CLSPN,1e-20,1.76680715130292
BRCA,55143,CDCA8,1e-20,2.63702193193461
BRCA,353500,BMP8A,1e-20,1.97792876319643
BRCA,9783,RIMS3,1e-20,-2.04511854570603
BRCA,1907,EDN2,1e-20,1.8742956232324
BRCA,149461,CLDN19,1e-20,-2.87125225885525
BRCA,991,CDC20,1e-20,3.24158046485219
BRCA,9048,ARTN,1e-20,2.31932890383941
BRCA,11004,KIF2C,1e-20,3.03254189204985
BRCA,8643,PTCH2,1e-20,-1.88678938955201
BRCA,10103,TSPAN1,1e-20,1.7758753625778
BRCA,8438,RAD54L,1e-20,1.98185265328974
BRCA,6886,TAL1,1e-20,-2.37665307866061
BRCA,6491,STIL,1e-20,1.71285279447037
BRCA,388630,TRABD2B,1e-20,-2.63718002107354
BRCA,4998,ORC1,1e-20,1.91110075949542
BRCA,6512,SLC1A7,1.8257e-12,-1.64662350847658
BRCA,8613,PLPP3,1e-20,-2.06254528656803
BRCA,3725,JUN,1e-20,-1.84814573197741
BRCA,100996301,FOXD3-AS1,1e-20,2.26933242973416
BRCA,4919,ROR1,1e-20,-1.5638499190478
BRCA,57685,CACHD1,1e-20,-2.65154874281317
BRCA,3953,LEPR,1e-20,-3.39666190833585
BRCA,79971,WLS,1e-20,-1.80040812790891
BRCA,55635,DEPDC1,1e-20,2.26663664251399
BRCA,5733,PTGER3,1.3945e-12,-1.88982702337852
BRCA,256435,ST6GALNAC3,1e-20,-2.13586316536868
BRCA,26289,AK5,1e-20,-4.04464428794468
BRCA,11080,DNAJB4,1e-20,-1.57661252073482
BRCA,54810,GIPC2,1e-20,-3.10249017105842
BRCA,5737,PTGFR,4.327e-18,-2.6238668618527
BRCA,64123,ADGRL4,1e-20,-1.91468401088085
BRCA,23266,ADGRL2,1e-20,-1.67421339775544
BRCA,3491,CCN1,1e-20,-2.16889894590168
BRCA,22802,CLCA4,2.8288e-15,-1.50792146495733
BRCA,339524,LINC01140,3.365e-19,-1.98075651923102
BRCA,400761,LRRC8C-DT,1e-20,-2.03742541088021
BRCA,7049,TGFBR3,1e-20,-3.49775276970741
BRCA,2152,F3,1e-20,-2.44281959934234
BRCA,100996635,LINC02607,1e-20,-4.89088439617963
BRCA,1806,DPYD,1e-20,-1.54339543231628
BRCA,54873,PALMD,1e-20,-2.9601297882873
BRCA,1901,S1PR1,1e-20,-2.4093460594419
BRCA,1301,COL11A1,1e-20,5.34805532973767
BRCA,280,AMY2B,1e-20,-1.7061539107356
BRCA,2946,GSTM2,1e-20,-1.86437594162909
BRCA,3749,KCNC4,1e-20,-1.8119063176213
BRCA,55924,INKA2,1e-20,-1.63792914298826
BRCA,333926,PPM1J,1e-20,1.5216738827334
BRCA,163259,DENND2C,1e-20,-1.66857301647589
BRCA,6913,TBX15,2.7544e-15,-1.94995113777465
BRCA,148741,ANKRD35,1e-20,-2.344898617537
BRCA,10628,TXNIP,1e-20,-2.2073821496673
BRCA,2209,FCGR1A,1e-20,1.6165869842111
BRCA,54507,ADAMTSL4,9.187300000000001e-20,-2.12117754899291
BRCA,57402,S100A14,1e-20,2.1992228877276
BRCA,4881,NPR1,5.513e-20,-3.61713345077187
BRCA,126669,SHE,1e-20,-2.48349759419936
BRCA,126668,TDRD10,1e-20,-1.89801481906676
BRCA,55974,SLC50A1,1e-20,1.68378673204922
BRCA,4582,MUC1,1e-20,1.92765885024899
BRCA,10763,NES,4.8266e-19,-1.61757686497588
BRCA,1382,CRABP2,1e-20,1.54439500896947
BRCA,375033,PEAR1,1e-20,-2.48988360107344
BRCA,55243,KIRREL1,1e-20,-1.52117541136607
BRCA,57863,CADM3,2.6185e-17,-2.55262299200928
BRCA,2532,ACKR1,1e-20,-3.67403887167078
BRCA,2205,FCER1A,2.0636e-13,-2.03628020818975
BRCA,25790,CFAP45,1e-20,1.9799892107579
BRCA,57549,IGSF9,1e-20,1.69108530752784
BRCA,4921,DDR2,8.2535e-17,-2.41804179226705
BRCA,83540,NUF2,1e-20,3.68724761575221
BRCA,1805,DPT,4.9515e-14,-3.76227598348101
BRCA,6403,SELP,1e-20,-2.53354393853162
BRCA,2327,FMO2,1e-20,-4.23956776839831
BRCA,7292,TNFSF4,1e-20,1.80933800833671
BRCA,9068,ANGPTL1,1e-20,-3.7579584673754
BRCA,110841583,LAMC1-AS1,1.78e-15,-1.64293256935849
BRCA,3918,LAMC2,3.6685000000000005e-19,-2.26358146115018
BRCA,23057,NMNAT2,9.8624e-15,-2.69041709553247
BRCA,23179,RGL1,1e-20,-1.73346213388117
BRCA,116496,FAM129A,1e-20,-1.58494671587977
BRCA,5321,PLA2G4A,1e-20,-2.49981370358493
BRCA,5997,RGS2,1.4754e-13,-2.52165333977182
BRCA,259266,ASPM,1e-20,3.02856915219677
BRCA,2494,NR5A2,1e-20,-1.74207011487633
BRCA,9928,KIF14,1e-20,1.8261925362366
BRCA,5317,PKP1,5.4757e-13,-2.96685986971947
BRCA,1465,CSRP1,1e-20,-1.65083105747196
BRCA,25802,LMOD1,1e-20,-2.96277912593153
BRCA,59352,LGR6,2.3859e-12,-3.34451186877117
BRCA,29089,UBE2T,1e-20,2.93532886482532
BRCA,4660,PPP1R12B,1e-20,-2.21692572921629
BRCA,2331,FMOD,2.2437e-17,-1.57068917221969
BRCA,5549,PRELP,3.7909e-18,-2.56570723307179
BRCA,23114,NFASC,1.5391e-14,-2.01995307312612
BRCA,81788,NUAK2,1e-20,1.92571245069613
BRCA,148808,MFSD4A,1.7234e-17,-2.07747548085605
BRCA,5284,PIGR,2.7063e-12,-5.41176082799213
BRCA,947,CD34,1e-20,-2.26073253043883
BRCA,642587,MIR205HG,3.2408e-16,-2.58842913646402
BRCA,3914,LAMB3,1e-20,-2.62275295493269
BRCA,101930114,HSD11B1-AS1,1.9621e-16,-4.80797308747771
BRCA,50486,G0S2,6.0672e-14,-4.61415034069423
BRCA,4751,NEK2,1e-20,4.44745468935477
BRCA,51514,DTL,1e-20,3.00123768195424
BRCA,467,ATF3,7.1214e-17,-2.7296052371358
BRCA,5629,PROX1,1.9824e-15,-1.89219671046549
BRCA,5784,PTPN14,1e-20,-1.9727564211444
BRCA,1063,CENPF,1e-20,3.11239123754619
BRCA,4139,MARK1,3.9047e-17,-1.61937608494743
BRCA,79762,C1orf115,1e-20,-1.63379343041274
BRCA,58480,RHOU,1e-20,-2.03473301734227
BRCA,10753,CAPN9,1e-20,1.80844306418906
BRCA,375061,FAM89A,1.1472e-14,-2.41666124175851
BRCA,3775,KCNK1,1e-20,1.52518321815653
BRCA,148641,SLC35F3,4.6151e-17,-2.89685307289671
BRCA,64388,GREM2,2.0329e-14,-2.04159344865918
BRCA,9156,EXO1,1e-20,3.19440229193857
BRCA,440738,MAP1LC3C,2.1111e-17,-3.41494732802091
BRCA,10000,AKT3,1e-20,-1.55691353274335
BRCA,55083,KIF26B,1e-20,2.55655203625122
BRCA,54221,SNTG2,1.5492e-15,-1.60833615034766
BRCA,7173,TPO,1e-20,-1.82544423727265
BRCA,130497,OSR1,1e-20,-3.72837581203057
BRCA,4148,MATN3,1e-20,2.2061404869669
BRCA,114818,KLHL29,1e-20,-3.24294960828793
BRCA,1058,CENPA,1e-20,2.88169630303113
BRCA,64838,FNDC4,1e-20,-1.63835680470814
BRCA,79745,CLIP4,1e-20,-2.14847160509252
BRCA,92291,CAPN13,1e-20,1.51528310798483
BRCA,51232,CRIM1,1e-20,-1.98078035709007
BRCA,5212,VIT,1e-20,-3.9106964637611
BRCA,101929596,LINC02613,2.5054e-19,-4.16253249366112
BRCA,130733,TMEM178A,5.6858e-14,-2.32690788106096
BRCA,91461,PKDCC,1.4483e-13,-2.22260966826039
BRCA,678,ZFP36L2,1e-20,-1.54565142550002
BRCA,130271,PLEKHH2,1e-20,-2.41326286719041
BRCA,728819,C1GALT1C1L,1e-20,-1.7644509638849
BRCA,10736,SIX2,1e-20,1.59101517084341
BRCA,2034,EPAS1,1e-20,-1.90709584166325
BRCA,10936,GPR75,1.228e-15,-1.65144178279191
BRCA,6711,SPTBN1,1.2666000000000002e-19,-1.77044763007173
BRCA,2202,EFEMP1,1e-20,-2.60415688490512
BRCA,25927,CNRIP1,1e-20,-1.78121105967402
BRCA,79998,ANKRD53,2.5453e-17,-2.26933242973416
BRCA,56603,CYP26B1,3.5737e-12,-2.32472028006921
BRCA,72,ACTG2,3.1920000000000004e-20,-4.38506627708264
BRCA,6869,TACR1,1e-20,-3.79549167077266
BRCA,83439,TCF7L1,1e-20,-1.5791313062871
BRCA,84913,ATOH8,1e-20,-3.41088377719558
BRCA,150771,ITPRIPL1,1e-20,-2.92843387597269
BRCA,23397,NCAPH,1e-20,2.58212061245748
BRCA,84417,C2orf40,1e-20,-5.37083341080789
BRCA,27233,SULT1C4,5.2509e-12,-1.95243507882687
BRCA,7851,MALL,3.418e-11,-1.59955721616852
BRCA,150468,CKAP2L,1e-20,2.52180456172394
BRCA,140738,TMEM37,4.1438e-16,-2.91565985329186
BRCA,3625,INHBB,1e-20,-1.64013993121487
BRCA,2995,GYPC,1e-20,-2.01978488666906
BRCA,55679,LIMS2,1e-20,-2.31990609730215
BRCA,50649,ARHGEF4,1e-20,-1.93410567724687
BRCA,80731,THSD7B,2.1005000000000002e-19,-1.52205574916096
BRCA,9839,ZEB2,2.4279e-17,-1.54945245770843
BRCA,390,RND3,1e-20,-1.90528708389273
BRCA,114793,FMNL2,1e-20,-1.53495964331623
BRCA,130399,ACVR1C,1.1234e-11,-3.64558638591361
BRCA,9936,CD302,1e-20,-1.94632961421194
BRCA,22925,PLA2R1,1e-20,-1.79428862248162
BRCA,1803,DPP4,2.4838e-16,-1.83062176025306
BRCA,2191,FAP,1e-20,1.52245644053498
BRCA,55137,FIGN,4.2474e-15,-1.87460026604958
BRCA,6326,SCN2A,4.9375e-13,-1.6535186707536
BRCA,80034,CSRNP3,4.2358e-12,-1.59693514238723
BRCA,6332,SCN7A,5.1229e-13,-1.61541629726287
BRCA,57405,SPC25,1e-20,2.65620613102174
BRCA,79901,CYBRD1,1e-20,-1.64943135080051
BRCA,3232,HOXD3,8.43e-16,-1.54002726925751
BRCA,406903,MIR10B,1.1071e-13,-1.72202877790284
BRCA,3233,HOXD4,8.4044e-20,-1.99671469779368
BRCA,7035,TFPI,1e-20,-2.44392150380223
BRCA,51454,GULP1,1e-20,-1.84642623094472
BRCA,84281,C2orf88,1e-20,-3.12047602529721
BRCA,8436,CAVIN2,1e-20,-4.96485146832998
BRCA,316,AOX1,9.6627e-18,-3.08399991715414
BRCA,8324,FZD7,1e-20,-1.77248426527658
BRCA,57683,ZDBF2,1e-20,-1.93609594599355
BRCA,389072,PLEKHM3,1e-20,-1.86739453647111
BRCA,33,ACADL,3.9491e-16,-3.11119828131907
BRCA,1373,CPS1,3.3939e-19,-2.24929232530642
BRCA,2335,FN1,1e-20,2.80625201031838
BRCA,7145,TNS1,1.0019e-18,-2.83926382396855
BRCA,151306,GPBAR1,9.1821e-15,-2.43028527297778
BRCA,2043,EPHA4,4.8856e-20,-1.6333618837318
BRCA,80704,SLC19A3,1.3258e-13,-5.16575118401426
BRCA,55022,PID1,1e-20,-2.8773194988232
BRCA,10316,NMUR1,4.3413e-12,-1.79535136516656
BRCA,55355,HJURP,1e-20,3.46727948045998
BRCA,57007,ACKR3,8.3379e-14,-1.8082335119934
BRCA,79083,MLPH,1e-20,1.57844919376248
BRCA,10267,RAMP1,1e-20,2.16120427143765
BRCA,55502,HES6,1e-20,2.27182336235153
BRCA,117581,TWIST2,5.041e-19,-2.45173259085159
BRCA,100130449,AC110619.1,1e-20,2.00836347293463
BRCA,79919,MAB21L4,1e-20,1.69389687227432
BRCA,10752,CHL1,1e-20,-4.0234549581057
BRCA,5021,OXTR,1e-20,-5.52575742746446
BRCA,63924,CIDEC,3.456e-15,-7.0460078029452
BRCA,285368,PRRT3,1e-20,1.52687347346581
BRCA,6854,SYN2,1e-20,-3.57191946324556
BRCA,7079,TIMP4,5.2667e-14,-5.03269495119035
BRCA,5468,PPARG,4.6294e-17,-3.31423115450487
BRCA,23225,NUP210,1e-20,1.60255561137551
BRCA,117248,GALNT15,1.3484e-16,-3.57976039960139
BRCA,6304,SATB1,1e-20,-1.60489001113525
BRCA,8850,KAT2B,1e-20,-1.51722791360105
BRCA,151648,SGO1,1e-20,2.16382072649042
BRCA,79750,ZNF385D,2.8748e-15,-2.12064409867109
BRCA,7068,THRB,1e-20,-1.81444771207174
BRCA,5915,RARB,6.9479e-18,-1.62693640560669
BRCA,116135,LRRC3B,6.3235e-20,-1.91226662806645
BRCA,27303,RBMS3,1e-20,-2.54476330624845
BRCA,7048,TGFBR2,1e-20,-2.44617900416935
BRCA,112616,CMTM7,1e-20,-1.75031562478066
BRCA,6769,STAC,3.1554e-13,-2.45154083301783
BRCA,3680,ITGA9,1e-20,-1.70030817139928
BRCA,64651,CSRNP1,1e-20,-2.21106917040227
BRCA,1524,CX3CR1,3.8649e-14,-1.92442237835529
BRCA,25924,MYRIP,1e-20,-1.63376561322327
BRCA,389114,ZNF662,1e-20,-1.59972118018798
BRCA,91392,ZNF502,1e-20,-1.50810183261408
BRCA,56992,KIF15,1e-20,2.38441628351813
BRCA,7123,CLEC3B,1.9695e-20,-3.95875571216116
BRCA,5745,PTH1R,1.4486e-18,-2.50090098078365
BRCA,993,CDC25A,1e-20,1.68265061066317
BRCA,3373,HYAL1,1e-20,-2.24283016872877
BRCA,51364,ZMYND10,1e-20,2.09033578287194
BRCA,25886,POC1A,1e-20,1.82945824400438
BRCA,56920,SEMA3G,1.0959e-19,-2.83583716491454
BRCA,54756,IL17RD,4.0482e-19,-1.82351988708656
BRCA,1776,DNASE1L3,1e-20,-3.56150352789717
BRCA,56999,ADAMTS9,1.5678e-13,-1.68538905540944
BRCA,100507098,ADAMTS9-AS2,1e-20,-2.88986288136518
BRCA,285203,EOGT,1e-20,-1.56147883015192
BRCA,23024,PDZRN3,1e-20,-1.51006340527179
BRCA,401074,LINC00960,8.8878e-11,-2.1996149504083
BRCA,389136,VGLL3,3.6875e-18,-2.08738155120716
BRCA,5627,PROS1,1e-20,-2.44383301265194
BRCA,415117,STX19,4.4173e-12,-2.47144761637739
BRCA,131544,CRYBG3,1e-20,-2.24390200924511
BRCA,25890,ABI3BP,1.5127e-17,-2.61476831081461
BRCA,25945,NECTIN3,1e-20,-2.05820195172016
BRCA,4345,CD200,1e-20,-1.54011542689968
BRCA,151887,CCDC80,2.2147e-16,-1.99595970216824
BRCA,91653,BOC,1e-20,-2.44687246447447
BRCA,111,ADCY5,1e-20,-2.48881845605793
BRCA,4638,MYLK,1e-20,-2.80668579188468
BRCA,8997,KALRN,1e-20,-1.54240899563404
BRCA,28999,KLF15,1.1261e-16,-3.56267132998782
BRCA,11343,MGLL,8.6799e-18,-2.18946549957524
BRCA,131873,COL6A6,1.7659e-20,-2.66152159585276
BRCA,51554,ACKR4,1.8244e-17,-2.16296237169109
BRCA,51560,RAB6B,1e-20,-1.6456195165873
BRCA,51421,AMOTL2,1e-20,-1.58893296333582
BRCA,2047,EPHB1,1e-20,-3.68872746080418
BRCA,339855,KY,1e-20,-2.09322211053902
BRCA,80723,SLC35G2,1e-20,-2.10806564320652
BRCA,22808,MRAS,1e-20,-2.31048599137326
BRCA,26577,PCOLCE2,2.857e-15,-5.46716790559583
BRCA,285195,SLC9A9,1e-20,-1.57830398321751
BRCA,57088,PLSCR4,1e-20,-2.34513649127624
BRCA,1360,CPB1,1.2366e-11,-2.27812476826585
BRCA,116441,TM4SF18,1e-20,-1.78120150295356
BRCA,9934,P2RY14,2.6781e-11,-1.65685541920294
