cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
COAD,84069,PLEKHN1,1e-20,1.5935928058646
COAD,1953,MEGF6,1e-20,1.7551016948802
COAD,106614088,MIR34AHG,8.475300000000001e-19,1.55483439589419
COAD,10630,PDPN,1e-20,1.7539336541678
COAD,284723,SLC25A34,1.7845e-14,-3.61753358347542
COAD,388595,TMEM82,2.138e-15,-4.52323763518964
COAD,4237,MFAP2,1e-20,2.27713151177897
COAD,11240,PADI2,2.2703e-16,-4.19844559750469
COAD,65018,PINK1,1e-20,-1.52616719177202
COAD,3352,HTR1D,6.4911e-11,2.53032049467804
COAD,6920,TCEA3,1.1415e-20,-1.64079358973689
COAD,55616,ASAP3,2.7627e-18,-2.15507150023223
COAD,2517,FUCA1,3.4697e-18,-1.95911033872593
COAD,127294,MYOM3,1e-20,2.19049661136382
COAD,57822,GRHL3,1e-20,1.63923216324928
COAD,79000,AUNIP,1e-20,2.24639670957011
COAD,6548,SLC9A1,1.1036e-14,-1.50797014567265
COAD,113452,TMEM54,5.6637e-16,-1.53745993054855
COAD,2707,GJB3,2.7117e-12,1.88234937915607
COAD,63967,CLSPN,1e-20,1.55030993152692
COAD,54933,RHBDL2,9.6911e-16,-2.02050271360993
COAD,1503,CTPS1,1e-20,1.68919173589362
COAD,2980,GUCA2A,1.7777e-13,-7.38480827383679
COAD,149466,C1orf210,3.3698e-20,-1.7215133850955
COAD,6536,SLC6A9,5.3663e-11,-1.52778776709511
COAD,11004,KIF2C,1e-20,1.65048928210717
COAD,94161,SNORD46,8.6396e-12,2.01011131596729
COAD,266675,BEST4,1.7199e-12,-6.43036891474613
COAD,10103,TSPAN1,2.1941e-16,-2.64087422166995
COAD,8438,RAD54L,1e-20,1.67719591382179
COAD,260293,CYP4X1,2.0864e-20,1.63194386859147
COAD,2306,FOXD2,3.2144e-13,-1.82363690408734
COAD,7804,LRP8,1e-20,2.65946793708479
COAD,55001,TTC22,2.9798e-14,-1.97903538310514
COAD,255738,PCSK9,1e-20,3.33328430152248
COAD,4070,TACSTD2,9.720200000000002e-19,3.01942668220292
COAD,105378763,LINC01748,4.7982e-11,1.85039939677025
COAD,5236,PGM1,1e-20,-1.63491154571693
COAD,5567,PRKACB,1e-20,-2.06536398653237
COAD,1179,CLCA1,2.9441e-14,-6.74057942461285
COAD,253152,EPHX4,1e-20,3.64892555945312
COAD,1806,DPYD,3.3229e-13,-1.89133215871864
COAD,8556,CDC14A,2.5455e-12,-1.70107480551823
COAD,1301,COL11A1,1e-20,3.32624970083746
COAD,2949,GSTM5,5.6422e-13,-2.9788297940288
COAD,5016,OVGP1,1e-20,1.64043001988005
COAD,100506392,SLC16A1-AS1,5.1333e-18,1.91922784577008
COAD,54855,TENT5C,7.2043e-13,-2.27341098877073
COAD,3158,HMGCS2,1.1054e-11,-3.30838490435898
COAD,10628,TXNIP,2.7967e-13,-1.53409285655096
COAD,2330,FMO5,1.4562e-13,-2.30490877878644
COAD,8991,SELENBP1,4.9424e-13,-3.10763034545186
COAD,6282,S100A11,1e-20,2.0536575527957
COAD,3570,IL6R,5.6699e-20,-2.84802084593951
COAD,126669,SHE,9.9454e-11,-1.87695889606957
COAD,51043,ZBTB7B,2.0557e-16,-1.68878945201533
COAD,1944,EFNA3,1e-20,1.71154721414544
COAD,284618,RUSC1-AS1,9.1247e-16,1.63003152458591
COAD,92312,MEX3A,1e-20,2.55949181320504
COAD,912,CD1D,2.8282e-14,-1.85954747090546
COAD,57863,CADM3,1.3529e-11,-3.00934717225925
COAD,57549,IGSF9,2.004e-11,-1.99227603253598
COAD,100505633,LINC01133,3.6422e-12,-1.96628918862491
COAD,962,CD48,2.2052e-11,-1.97940546259915
COAD,57823,SLAMF7,3.2061e-11,-2.45270265878467
COAD,81607,NECTIN4,1e-20,1.93566128603036
COAD,83540,NUF2,1e-20,1.88147300860661
COAD,10223,GPA33,1.3673e-17,-2.18225403527182
COAD,92241,RCSD1,2.3467e-13,-1.72620489932842
COAD,2329,FMO4,4.3718e-14,-1.78902724973735
COAD,6004,RGS16,1e-20,2.41319462676598
COAD,339479,BRINP3,6.8543e-12,-3.25474519762921
COAD,259266,ASPM,1e-20,1.63757210008135
COAD,2494,NR5A2,1e-20,-2.53569569014036
COAD,9928,KIF14,1e-20,2.19100395403328
COAD,29089,UBE2T,1e-20,1.56306427672386
COAD,1116,CHI3L1,1.0640000000000001e-20,4.24366001845242
COAD,10446,LRRN2,7.1884e-11,-4.480284086294
COAD,93273,LEMD1,1e-20,1.95568477586932
COAD,440712,RHEX,5.1984e-13,-2.18713429147454
COAD,5284,PIGR,5.8115e-17,-2.66757320775893
COAD,7188,TRAF5,1e-20,1.52546859530202
COAD,4751,NEK2,1e-20,1.59901005458651
COAD,55248,TMEM206,1e-20,1.58212509881118
COAD,5629,PROX1,1e-20,1.79670426031969
COAD,1063,CENPF,1e-20,1.84274003622142
COAD,79762,C1orf115,2.6634e-11,-2.36934011208109
COAD,11221,DUSP10,2.4343e-18,1.68836326482087
COAD,183,AGT,1e-20,1.71338130397591
COAD,375061,FAM89A,1e-20,1.8995155409989
COAD,2786,GNG4,1e-20,1.92185583204683
COAD,64388,GREM2,6.2123e-13,-4.58724496139765
COAD,9156,EXO1,1e-20,1.6775317192141
COAD,55657,ZNF692,1e-20,1.53103309903047
COAD,285016,ALKAL2,3.2942e-12,-2.27112682678252
COAD,29841,GRHL1,1e-20,2.03174806286428
COAD,245973,ATP6V1C2,1e-20,1.81680447483288
COAD,7447,VSNL1,1e-20,2.59609332777696
COAD,114818,KLHL29,6.9237e-17,1.60199343221026
COAD,1058,CENPA,1e-20,1.52987591544086
COAD,10669,CGREF1,1e-20,3.75944451173038
COAD,8884,SLC5A6,1e-20,1.55000718974697
COAD,151393,RMDN2,5.4847e-19,-1.91013218928155
COAD,7360,UGP2,7.7073e-18,-1.99231805583383
COAD,150726,FBXO41,1e-20,2.00887016315663
COAD,10797,MTHFD2,1e-20,1.51248438809628
COAD,84141,EVA1A,1e-20,3.4832353586083
COAD,54884,RETSAT,6.395e-15,-1.89467232029408
COAD,2168,FABP1,1.1412e-14,-3.85826566123599
COAD,150696,PROM2,5.2932e-12,-2.11434554390847
COAD,26504,CNNM4,2.9888e-13,-1.79706109243788
COAD,6549,SLC9A2,2.6155e-18,-2.51779533568372
COAD,6819,SULT1C2,4.702e-16,2.85001315498248
COAD,10913,EDAR,1e-20,2.25434482312765
COAD,7851,MALL,3.9817e-16,-2.82083892932613
COAD,541471,MIR4435-2HG,1e-20,2.07966415919799
COAD,150468,CKAP2L,1e-20,1.75042613804854
COAD,3557,IL1RN,1.7156e-12,1.89061001891459
COAD,389023,DPP10-AS1,5.6869e-12,-3.70177082237905
COAD,140738,TMEM37,7.9825e-14,-3.75206974115102
COAD,29798,C2orf27A,1e-20,1.93682840262077
COAD,2191,FAP,1e-20,3.21303615491729
COAD,6335,SCN9A,1.661e-14,-1.91034891538093
COAD,8708,B3GALT1,4.8555e-15,-2.64038956005495
COAD,10170,DHRS9,4.0107e-14,-5.0850224107667
COAD,389058,SP5,1e-20,2.92899448287212
COAD,83879,CDCA7,1e-20,1.76213137728638
COAD,401022,HAGLR,7.4454e-20,-2.96601302946582
COAD,84281,C2orf88,2.8991e-19,-4.17936984722676
COAD,57181,SLC39A10,1e-20,1.8962277811219
COAD,6556,SLC11A1,1e-20,2.0394556843357
COAD,130340,AP1S3,1e-20,1.93291733191255
COAD,5270,SERPINE2,1e-20,1.62508938594616
COAD,55022,PID1,1e-20,-2.03900941846392
COAD,81618,ITM2C,1e-20,-2.70070991931127
COAD,54576,UGT1A8,1.5711e-12,-3.74351496805007
COAD,54575,UGT1A10,2.9358e-15,-4.47413114480563
COAD,55355,HJURP,1e-20,1.70352371188659
COAD,55502,HES6,1e-20,1.53000785420128
COAD,129807,NEU4,9.815e-14,-3.18387417586165
COAD,152330,CNTN4,2.7697e-14,-2.45338588036645
COAD,8553,BHLHE40,1e-20,1.52464325706644
COAD,3656,IRAK2,1e-20,1.60077821535972
COAD,6533,SLC6A6,1e-20,3.06590669788389
COAD,23228,PLCL2,3.0686e-18,-2.93021462045955
COAD,8850,KAT2B,2.0975e-19,-1.57047175757516
COAD,151648,SGO1,1e-20,1.5808614359144
COAD,7068,THRB,2.0798e-11,-2.57061637516711
COAD,9881,TRANK1,6.1952e-11,-2.0531444804743
COAD,50853,VILL,1.9884e-16,-1.8628276536649
COAD,5333,PLCD1,8.2195e-15,-2.63969923984803
COAD,7433,VIPR1,4.5805e-14,-1.97009639611936
COAD,25994,HIGD1A,1.5651e-14,-1.68273562232402
COAD,1238,ACKR2,3.2357e-12,-1.79327165449808
COAD,7123,CLEC3B,4.88e-16,-4.39243366135119
COAD,729230,CCR2,1.7605e-11,-2.84537836851247
COAD,6997,TDGF1,1e-20,2.75152149270847
COAD,1294,COL7A1,1e-20,2.64520727120701
COAD,1951,CELSR3,1e-20,2.31034012061215
COAD,788,SLC25A20,1e-20,-1.77273665482656
COAD,4485,MST1,1.1664e-16,1.66610982424652
COAD,109616991,SNORD19C,3.1885e-14,1.69944893713321
COAD,1776,DNASE1L3,5.8514e-15,-5.14956938568425
COAD,131177,FAM3D,2.1743e-11,-1.62088010031117
COAD,8618,CADPS,1e-20,1.67200450506379
COAD,317649,EIF4E3,1e-20,-1.85193897172599
COAD,5067,CNTN3,1.793e-13,-2.13060144979056
COAD,2838,GPR15,6.0434e-13,-4.21878116778407
COAD,1295,COL8A1,1.1228e-18,2.24240947069471
COAD,84319,CMSS1,1e-20,1.68159355854808
COAD,11148,HHLA2,3.4564e-16,-3.32052560445848
COAD,57650,CIP2A,1e-20,1.59241437593057
COAD,10721,POLQ,1e-20,1.66094121012699
COAD,11343,MGLL,6.6999e-16,-1.53319432686759
COAD,80111,SLCO2A1,1.564e-13,-2.39274881901995
COAD,5523,PPP2R3A,1.7291e-20,-1.88763699065033
COAD,285195,SLC9A9,5.0405e-16,-2.26821947706361
COAD,1359,CPA3,1.2706e-11,-2.58123320564749
COAD,9934,P2RY14,3.4306e-12,-2.77308821217931
COAD,5028,P2RY1,1e-20,-2.53241041887365
COAD,79782,LRRC31,1.5928e-12,-1.6527178943862
COAD,200916,RPL22L1,1e-20,1.75242745443448
