cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
KIRC,102466751,MIR6859-1,1e-20,1.98190058415374
KIRC,57801,HES4,1e-20,2.0963438690612
KIRC,8784,TNFRSF18,1e-20,1.56997709332457
KIRC,7293,TNFRSF4,1e-20,2.99770983149452
KIRC,2563,GABRD,1e-20,4.27552858882227
KIRC,8764,TNFRSF14,1e-20,1.89241539786801
KIRC,440556,PRDM16-DT,2.1501e-15,-6.03685495329737
KIRC,63976,PRDM16,4.2531e-18,-3.73573878191235
KIRC,55966,AJAP1,9.3853e-13,-1.68723908031735
KIRC,6518,SLC2A5,6.7759e-20,2.17463569275907
KIRC,106614088,MIR34AHG,1e-20,2.31961793420016
KIRC,102724571,LNCTAM34A,1e-20,1.90996506675797
KIRC,84275,SLC25A33,1e-20,-2.07008043268823
KIRC,54897,CASZ1,1e-20,-2.48511723226764
KIRC,26232,FBXO2,2.6827e-13,-3.44617278201252
KIRC,1187,CLCNKA,5.0695e-13,-7.34619457638219
KIRC,1188,CLCNKB,1e-20,-8.62229712998955
KIRC,11240,PADI2,4.0487e-11,-2.76159965884265
KIRC,400743,AL590644.1,2.1592e-20,2.91418179500227
KIRC,8659,ALDH4A1,2.2548e-12,-2.24111770382247
KIRC,5909,RAP1GAP,2.441e-14,-2.82422786481345
KIRC,712,C1QA,1e-20,2.44618331777508
KIRC,714,C1QC,1e-20,2.69085249466299
KIRC,713,C1QB,1e-20,2.7449852384521
KIRC,55616,ASAP3,1e-20,-1.59135892117674
KIRC,864,RUNX3,1e-20,3.09984571536961
KIRC,57134,MAN1C1,1e-20,-3.19052164368092
KIRC,164091,PAQR7,1e-20,-1.69842463409513
KIRC,7780,SLC30A2,1.5981e-12,-4.54738813200534
KIRC,10256,CNKSR1,1e-20,-3.73930807086039
KIRC,1043,CD52,1e-20,2.38091212600717
KIRC,257101,ZNF683,1e-20,1.59550366050274
KIRC,8431,NR0B2,2.9849e-12,-4.92229300983836
KIRC,126695,KDF1,1e-20,-2.77225795330251
KIRC,388610,TRNP1,8.0552e-20,-3.50092922904833
KIRC,9473,THEMIS2,1e-20,2.18725128503287
KIRC,85028,SNHG12,1e-20,2.50521908264272
KIRC,692212,SNORD99,1e-20,2.68392098080932
KIRC,115273,RAB42,1e-20,4.04486809243644
KIRC,7805,LAPTM5,1e-20,2.64760230966294
KIRC,57648,KIAA1522,1e-20,-1.74645667798683
KIRC,1441,CSF3R,1e-20,2.6347897523166
KIRC,2899,GRIK3,1e-20,2.7415748474188
KIRC,26508,HEYL,1e-20,1.78025234875136
KIRC,1298,COL9A2,1e-20,-3.14467534443399
KIRC,284716,RIMKLA,1e-20,2.22619791536477
KIRC,84217,ZMYND12,1e-20,-1.74744976179582
KIRC,149461,CLDN19,5.2364e-17,-6.54049229973533
KIRC,6513,SLC2A1,1e-20,1.88151413643721
KIRC,149466,C1orf210,1e-20,-1.87294711703217
KIRC,149478,BTBD19,1e-20,1.72354889663068
KIRC,10103,TSPAN1,1.7635e-16,-1.88552274132153
KIRC,541468,LURAP1,4.5719e-19,-1.88105201250225
KIRC,84871,AGBL4,1e-20,-1.91914936328767
KIRC,100507564,AL606760.1,1e-20,-1.5935928058646
KIRC,148979,GLIS1,1e-20,1.75555212420539
KIRC,26027,ACOT11,1e-20,-2.72805110782043
KIRC,199964,TMEM61,2.2435e-17,-3.17376706773671
KIRC,7809,BSND,1e-20,-4.34993137336012
KIRC,199920,FYB2,3.3061e-17,-3.15752883990666
KIRC,4070,TACSTD2,1.7021e-11,-5.24967403649821
KIRC,1573,CYP2J2,1e-20,5.231765465816
KIRC,101927084,LINC01359,8.6412e-15,1.60115836107717
KIRC,9829,DNAJC6,1e-20,-1.91854172782879
KIRC,9077,DIRAS3,1e-20,-2.98830814129336
KIRC,79971,WLS,1e-20,-1.69109569474931
KIRC,1491,CTH,1e-20,-2.06854798106723
KIRC,101927244,LINC01788,2.5681e-14,-2.34227027440455
KIRC,5733,PTGER3,1e-20,-3.23811807108734
KIRC,127255,LRRIQ3,4.8811e-20,-1.58983872151011
KIRC,34,ACADM,1.232e-19,-1.58587487050527
KIRC,148418,SAMD13,1e-20,-1.98710962232004
KIRC,55283,MCOLN3,6.6778e-20,-3.06970216663007
KIRC,2633,GBP1,1e-20,1.52239462638836
KIRC,2634,GBP2,1e-20,1.79961366519941
KIRC,115362,GBP5,1e-20,2.9989545266769
KIRC,105378853,LINC02609,1e-20,1.80446664273278
KIRC,7049,TGFBR3,1e-20,-1.86146192230959
KIRC,1629,DBT,1e-20,-1.77745147493572
KIRC,7412,VCAM1,1e-20,1.69746294768716
KIRC,55170,PRMT6,1e-20,-1.51369220491237
KIRC,22854,NTNG1,8.4749e-12,-2.89859534152415
KIRC,10451,VAV3,1e-20,-1.60441374006284
KIRC,6272,SORT1,1e-20,-1.68671603952583
KIRC,284612,SYPL2,1e-20,-1.68699382646315
KIRC,2947,GSTM3,4.9132e-18,-3.54635986127238
KIRC,388662,SLC6A17,6.1132e-15,-1.90265247119608
KIRC,963,CD53,1e-20,1.52163854987593
KIRC,1117,CHI3L2,1.2108e-15,1.85554560950414
KIRC,128346,C1orf162,1e-20,2.5456650837936
KIRC,57413,TMIGD3,1e-20,2.26303440583379
KIRC,140,ADORA3,1e-20,3.3265840310135
KIRC,6566,SLC16A1,1e-20,1.96705514797212
KIRC,100506392,SLC16A1-AS1,1e-20,3.20494033289545
KIRC,260425,MAGI3,1e-20,-2.26781674464726
KIRC,26191,PTPN22,1e-20,1.73335434061383
KIRC,4803,NGF,1e-20,1.6709542234789
KIRC,55356,SLC22A15,1e-20,-2.04249611023885
KIRC,476,ATP1A1,1e-20,-3.07232747573619
KIRC,101929023,LINC01762,1e-20,-5.45831637788899
KIRC,914,CD2,1e-20,3.26922886478595
KIRC,79679,VTCN1,3.8798e-17,-5.75979499575751
KIRC,6913,TBX15,3.5451e-17,1.5489297694764
KIRC,105378934,LINC01780,3.4588e-11,-2.18808437056115
KIRC,26227,PHGDH,1e-20,-2.1533239175311
KIRC,2330,FMO5,1.5347e-17,-2.7084240831926
KIRC,2209,FCGR1A,1e-20,3.03104776266153
KIRC,51177,PLEKHO1,1e-20,1.71673992884331
KIRC,54507,ADAMTSL4,1e-20,1.78582045391485
KIRC,1520,CTSS,1e-20,1.91884832564808
KIRC,8416,ANXA9,1e-20,-2.29345366385148
KIRC,79626,TNFAIP8L2,1e-20,2.38969006980795
KIRC,8991,SELENBP1,1e-20,-2.12664790349661
KIRC,57530,CGN,1e-20,-3.15470065639724
KIRC,6273,S100A2,7.9912e-11,-4.31579224741026
KIRC,57402,S100A14,6.3552e-20,-3.08229446513373
KIRC,1944,EFNA3,1e-20,2.10064131597347
KIRC,200185,KRTCAP2,1e-20,1.84052805020496
KIRC,4582,MUC1,2.996e-20,-2.27024658078382
KIRC,57111,RAB25,1e-20,-6.70240820818721
KIRC,79957,PAQR6,1e-20,1.64385618977472
KIRC,9047,SH2D2A,1e-20,2.42711200632659
KIRC,912,CD1D,1e-20,2.56414688997539
KIRC,4332,MNDA,1e-20,2.04500808813607
KIRC,149628,PYHIN1,1e-20,2.21629964484864
KIRC,3428,IFI16,1e-20,1.63511194095826
KIRC,9447,AIM2,1e-20,1.59645813955899
KIRC,343413,FCRL6,1e-20,1.77357442277131
KIRC,56833,SLAMF8,1e-20,1.79535136516656
KIRC,3766,KCNJ10,1e-20,-6.39035814970133
KIRC,57216,VANGL2,1e-20,-1.84582162232048
KIRC,114836,SLAMF6,1e-20,2.97379492965261
KIRC,8832,CD84,1e-20,3.01667874114663
KIRC,962,CD48,1e-20,2.54944821410822
KIRC,57823,SLAMF7,1e-20,2.80772046207119
KIRC,4063,LY9,1e-20,1.68661257681559
KIRC,51744,CD244,1e-20,1.52656966049778
KIRC,257106,ARHGAP30,1e-20,2.20646435046242
KIRC,81607,NECTIN4,6.3698e-15,-2.47871300244172
KIRC,9507,ADAMTS4,1e-20,2.31978918413103
KIRC,2207,FCER1G,1e-20,2.44346136508576
KIRC,2212,FCGR2A,1e-20,1.95240109283038
KIRC,2214,FCGR3A,1e-20,3.4926067949295
KIRC,2213,FCGR2B,1e-20,2.31279547753074
KIRC,25903,OLFML2B,1e-20,2.7733280727268
KIRC,9722,NOS1AP,1e-20,-1.55875743037376
KIRC,400793,C1orf226,1e-20,-3.476650689686
KIRC,8490,RGS5,1e-20,2.18813133677893
KIRC,5087,PBX1,1e-20,-1.86644987808729
KIRC,919,CD247,1e-20,2.94864132582715
KIRC,6846,XCL2,1e-20,1.84839759952819
KIRC,101928596,AL031726.1,4.7817e-18,-3.18269229751619
KIRC,481,ATP1B1,1e-20,-1.64202430999412
KIRC,57821,CCDC181,1e-20,-3.65466466735122
KIRC,10560,SLC19A2,1e-20,-1.97177555755973
KIRC,110806290,MYOCOS,1e-20,5.44857062600553
KIRC,102724601,AL121983.2,1.715e-12,-1.63862668139805
KIRC,9068,ANGPTL1,1e-20,-4.14199469264211
KIRC,7827,NPHS2,4.8153e-13,-6.90930508822848
KIRC,4688,NCF2,1e-20,1.8102776592121
KIRC,339479,BRINP3,3.9102e-13,-1.6073895000244
KIRC,64407,RGS18,1.6038e-20,1.90484837757908
KIRC,5996,RGS1,1e-20,3.14082556019349
KIRC,127124,ATP6V1G3,5.6118e-12,-5.93932062257951
KIRC,5788,PTPRC,1e-20,2.15954957017586
KIRC,3898,LAD1,1e-20,-4.20492781110617
KIRC,7135,TNNI1,1.4325e-17,-2.69354271275202
KIRC,23612,PHLDA3,1e-20,1.5300779450641
KIRC,8497,PPFIA4,1e-20,2.81919940617418
KIRC,7832,BTG2,4.8626e-11,-2.1360735827836
KIRC,55224,ETNK2,7.7953e-12,-1.68377030046237
KIRC,10446,LRRN2,1.0152e-20,-4.13321322308579
KIRC,23114,NFASC,3.3302e-11,-1.90888420090615
KIRC,81788,NUAK2,1.5511e-15,-2.42239223296966
KIRC,5129,CDK18,1e-20,2.27190851376013
KIRC,148808,MFSD4A,2.1536e-14,-5.23642811329718
KIRC,338382,RAB7B,1e-20,2.09888948573836
KIRC,440712,RHEX,1e-20,1.59037478444158
KIRC,553,AVPR1B,1e-20,2.08270258933025
KIRC,83593,RASSF5,1e-20,1.85842237836134
KIRC,9214,FCMR,3.8891000000000004e-20,1.9113423801796
KIRC,79098,C1orf116,1e-20,-4.18705508996806
KIRC,5208,PFKFB2,1e-20,-2.80053963435455
KIRC,101930114,HSD11B1-AS1,2.5539e-13,-1.53250268262086
KIRC,80342,TRAF3IP3,1e-20,1.55782250335734
KIRC,3664,IRF6,1e-20,-2.35867537535808
KIRC,51514,DTL,1e-20,1.8499992594661
KIRC,55509,BATF3,1e-20,1.99812862657237
KIRC,5629,PROX1,6.3436e-11,-3.44360665147561
KIRC,2104,ESRRG,1e-20,-3.96742878333978
KIRC,643723,LYPLAL1-DT,1.6897e-15,-1.72813820341893
KIRC,3142,HLX,1e-20,2.39891672545941
KIRC,55061,SUSD4,8.4107e-20,-5.14546994552204
KIRC,27185,DISC1,1e-20,1.72968973920153
KIRC,114548,NLRP3,3.4119000000000003e-19,1.51340923969612
KIRC,285016,ALKAL2,1e-20,1.51010153385604
KIRC,7837,PXDN,1e-20,1.80729441901541
KIRC,129642,MBOAT2,1e-20,-1.89397121601135
KIRC,29841,GRHL1,1.3529e-13,-1.69616267542352
KIRC,192668,CYS1,1e-20,-2.28569250677708
KIRC,3241,HPCAL1,1e-20,1.61356483728756
KIRC,245973,ATP6V1C2,1.5774e-16,-3.92523990548741
KIRC,6382,SDC1,6.1052e-19,-1.66062231056961
KIRC,151449,GDF7,1e-20,-1.97299873368953
KIRC,165082,ADGRF3,4.6651e-15,-2.44546186717836
KIRC,3777,KCNK3,1.9958e-20,2.94216848893398
KIRC,10669,CGREF1,1e-20,3.02046739549812
