cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
LUAD,84069,PLEKHN1,1e-20,2.42277121932047
LUAD,8784,TNFRSF18,1e-20,2.08658314912498
LUAD,339456,TMEM52,1e-20,1.57481182532923
LUAD,27237,ARHGEF16,1e-20,1.71296521520439
LUAD,388591,RNF207,1e-20,1.55114623353022
LUAD,83715,ESPN,1e-20,2.31914027751574
LUAD,8718,TNFRSF25,1e-20,2.0560769823645
LUAD,6518,SLC2A5,1e-20,2.16992500144231
LUAD,23254,KAZN,7.8876e-17,-1.54665721161606
LUAD,27129,HSPB7,6.9172e-13,-1.74972647378486
LUAD,22977,AKR7A3,1e-20,1.88635504352516
LUAD,55450,CAMK2N1,2.2147e-13,-1.76396681968004
LUAD,57576,KIF17,1.0814000000000001e-19,-2.1266597175281
LUAD,249,ALPL,3.2209e-13,-2.17372560435045
LUAD,712,C1QA,4.8852e-19,-1.59461245176031
LUAD,713,C1QB,3.9459e-15,-1.73395474660049
LUAD,2048,EPHB2,1e-20,1.9317780051779
LUAD,79000,AUNIP,1e-20,1.64524051264527
LUAD,79927,FAM110D,1.2178e-12,-2.4009091804252
LUAD,1043,CD52,1.4536e-14,-2.39105099286193
LUAD,115572,TENT5B,5.5312e-19,-3.14394362651112
LUAD,8547,FCN3,4.4045e-13,-5.11610420899031
LUAD,2268,FGR,3.2934e-16,-2.10298986573032
LUAD,27293,SMPDL3B,1e-20,1.60519954755455
LUAD,1104,RCC1,1e-20,1.70427579684876
LUAD,8420,SNHG3,1e-20,1.51448668809869
LUAD,692212,SNORD99,1e-20,1.69786773233845
LUAD,347735,SERINC2,1e-20,1.94916479310101
LUAD,65108,MARCKSL1,1e-20,1.93005868936498
LUAD,81493,SYNC,1e-20,-2.01510366470762
LUAD,2707,GJB3,1e-20,1.67500168679944
LUAD,63967,CLSPN,1e-20,1.68392098080932
LUAD,1441,CSF3R,8.3272e-11,-1.71916047942068
LUAD,284654,RSPO1,1.3168e-12,-2.58255600301406
LUAD,55143,CDCA8,1e-20,3.00864641842984
LUAD,284656,EPHA10,1e-20,2.5157629055412
LUAD,149175,MANEAL,1e-20,1.65958022841005
LUAD,54933,RHBDL2,1e-20,2.56936564567014
LUAD,353500,BMP8A,1e-20,2.11584832868652
LUAD,84879,MFSD2A,1.8308e-18,-1.89942887197518
LUAD,1907,EDN2,9.0816e-14,1.85073956026689
LUAD,6513,SLC2A1,1e-20,3.0940581957266
LUAD,7075,TIE1,2.475e-18,-2.14386737414491
LUAD,991,CDC20,1e-20,3.7065233170215
LUAD,11004,KIF2C,1e-20,3.50320152889822
LUAD,8438,RAD54L,1e-20,1.71325590173097
LUAD,1580,CYP4B1,1e-20,-4.13232030930433
LUAD,6886,TAL1,1.945e-16,-2.9269707902359
LUAD,6491,STIL,1e-20,2.42973138442188
LUAD,84793,FOXD2-AS1,1e-20,1.5305547221072
LUAD,200010,SLC5A9,4.9546e-11,-3.01149563883783
LUAD,4998,ORC1,1e-20,2.25640685379425
LUAD,255738,PCSK9,1.2523e-12,-3.09195927696828
LUAD,4919,ROR1,5.7566e-20,-1.9704953462263
LUAD,57685,CACHD1,7.257e-11,-1.6182477745816
LUAD,205,AK4,1e-20,2.53733065812805
LUAD,3953,LEPR,1.2569e-15,-2.2719190560312
LUAD,55635,DEPDC1,1e-20,1.93922657772821
LUAD,257194,NEGR1,7.9763e-12,-1.63691458035588
LUAD,204962,SLC44A5,1e-20,2.38929146200697
LUAD,256435,ST6GALNAC3,2.4486e-17,-2.24305970607253
LUAD,81849,ST6GALNAC5,1e-20,-2.60987507068664
LUAD,91624,NEXN,1.0525e-13,-1.61159441353827
LUAD,54810,GIPC2,7.7173e-18,-2.75838880458797
LUAD,149047,AC096531.2,3.1951e-15,-2.67784646639964
LUAD,23266,ADGRL2,1.5505e-14,-1.99379722191308
LUAD,79739,TTLL7,2.3364e-11,-2.15076099690609
LUAD,7049,TGFBR3,1.9393000000000002e-19,-3.1130238434887
LUAD,253152,EPHX4,1e-20,2.38598315929781
LUAD,54873,PALMD,2.4898e-17,-2.3352661562335
LUAD,1901,S1PR1,1.933e-20,-2.87075281408576
LUAD,1301,COL11A1,1e-20,2.90554345147192
LUAD,22854,NTNG1,1.7139e-11,-1.86155841957203
LUAD,2949,GSTM5,7.3048e-19,-2.63297243709362
LUAD,128346,C1orf162,3.1396e-18,-1.74297233926834
LUAD,55924,INKA2,1e-20,-1.6862395082685
LUAD,440603,BCL2L15,1e-20,2.64385618977472
LUAD,6913,TBX15,1e-20,1.81393507048132
LUAD,2702,GJA5,1.8077e-11,-1.64667637468186
