"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"BRCA",9636,1e-20,205.433,39.126,2.39246841880479,5.02960526315789e-20,"ISG15"
"BRCA",8784,1e-20,14.34,2.962,2.27540147830042,5.02960526315789e-20,"TNFRSF18"
"BRCA",441869,1e-20,8.128,25.38,-1.6427197619563,5.02960526315789e-20,"ANKRD65"
"BRCA",2563,1e-20,4.236,1,2.08270258933025,5.02960526315789e-20,"GABRD"
"BRCA",9651,2.7707e-19,2.433,11.683,-2.26360255648177,1.28635636639676e-18,"PLCH2"
"BRCA",116362,1e-20,27.54,175.568,-2.67242945062767,5.02960526315789e-20,"RBP7"
"BRCA",10747,2.306e-16,1.221,4.066,-1.73554701485733,9.11706774694018e-16,"MASP2"
"BRCA",10218,4.1397e-16,1,9.011,-3.17168721868987,1.61359652447315e-15,"ANGPTL7"
"BRCA",27129,2.6776e-11,2.59,73.237,-4.82154869234663,7.97645876087804e-11,"HSPB7"
"BRCA",1969,1e-20,9.075,27.676,-1.60866589774611,5.02960526315789e-20,"EPHA2"
"BRCA",4237,1e-20,61.295,14.975,2.03321339114004,5.02960526315789e-20,"MFAP2"
"BRCA",126917,3.9265e-19,10.567,41.82,-1.98462721211722,1.80795578197149e-18,"IFFO2"
"BRCA",22977,1e-20,27.282,8.799,1.63253793298758,5.02960526315789e-20,"AKR7A3"
"BRCA",5322,3.3695e-17,1,3.668,-1.87499363893297,1.39897687364229e-16,"PLA2G5"
"BRCA",249,2.1775e-19,12.293,50.14,-2.02812496028521,1.01920331632653e-18,"ALPL"
"BRCA",1870,1e-20,3.929,1,1.9741621677966,5.02960526315789e-20,"E2F2"
"BRCA",79000,1e-20,5.221,1.492,1.80707862309269,5.02960526315789e-20,"AUNIP"
"BRCA",79927,1e-20,1.566,9.959,-2.6689166734927,5.02960526315789e-20,"FAM110D"
"BRCA",388610,2.4329e-18,7.401,21.525,-1.54022111615029,1.07490968021576e-17,"TRNP1"
"BRCA",388611,2.8665e-14,1.694,6.846,-2.01482741767764,1.00724954037077e-13,"CD164L2"
"BRCA",2537,1e-20,551.592,121.903,2.17786790218279,5.02960526315789e-20,"IFI6"
"BRCA",79570,1e-20,16.361,1.035,3.98255825704087,5.02960526315789e-20,"NKAIN1"
"BRCA",64129,1e-20,31.407,141.748,-2.17417033123923,5.02960526315789e-20,"TINAGL1"
"BRCA",63967,1e-20,3.403,1,1.76680715130292,5.02960526315789e-20,"CLSPN"
"BRCA",55143,1e-20,20.428,3.284,2.63702193193461,5.02960526315789e-20,"CDCA8"
"BRCA",353500,1e-20,5.838,1.482,1.97792876319643,5.02960526315789e-20,"BMP8A"
"BRCA",9783,1e-20,1.81,7.47,-2.04511854570603,5.02960526315789e-20,"RIMS3"
