"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"COAD",84069,1e-20,3.018,1,1.5935928058646,9.45981387478849e-20,"PLEKHN1"
"COAD",1953,1e-20,7.578,2.245,1.7551016948802,9.45981387478849e-20,"MEGF6"
"COAD",106614088,8.4753e-19,2.938,1,1.55483439589419,6.97582384615385e-18,"MIR34AHG"
"COAD",10630,1e-20,20.412,6.052,1.7539336541678,9.45981387478849e-20,"PDPN"
"COAD",284723,1.7845e-14,1,12.274,-3.61753358347542,1.01906980337079e-13,"SLC25A34"
"COAD",388595,2.138e-15,1.354,31.135,-4.52323763518964,1.31859056811914e-14,"TMEM82"
"COAD",4237,1e-20,24.003,4.952,2.27713151177897,9.45981387478849e-20,"MFAP2"
"COAD",11240,2.2703e-16,19.873,364.856,-4.19844559750469,1.52327389438944e-15,"PADI2"
"COAD",65018,1e-20,12.22,35.196,-1.52616719177202,9.45981387478849e-20,"PINK1"
"COAD",3352,6.4911e-11,5.777,1,2.53032049467804,2.70973435318275e-10,"HTR1D"
"COAD",6920,1.1415e-20,72.018,224.579,-1.64079358973689,1.07528915332772e-19,"TCEA3"
"COAD",55616,2.7627e-18,6.552,29.182,-2.15507150023223,2.18234758389262e-17,"ASAP3"
"COAD",2517,3.4697e-18,89.212,346.876,-1.95911033872593,2.71969509638977e-17,"FUCA1"
"COAD",127294,1e-20,8.052,1.764,2.19049661136382,9.45981387478849e-20,"MYOM3"
"COAD",57822,1e-20,3.115,1,1.63923216324928,9.45981387478849e-20,"GRHL3"
"COAD",79000,1e-20,8.242,1.737,2.24639670957011,9.45981387478849e-20,"AUNIP"
"COAD",6548,1.1036e-14,36.221,103.016,-1.50797014567265,6.40368624805397e-14,"SLC9A1"
"COAD",113452,5.6637e-16,266.213,772.771,-1.53745993054855,3.67122675652174e-15,"TMEM54"
"COAD",2707,2.7117e-12,35.92,9.743,1.88234937915607,1.2880575e-11,"GJB3"
"COAD",63967,1e-20,4.566,1.559,1.55030993152692,9.45981387478849e-20,"CLSPN"
"COAD",54933,9.6911e-16,8.157,33.095,-2.02050271360993,6.16212878305374e-15,"RHBDL2"
"COAD",1503,1e-20,45.324,14.055,1.68919173589362,9.45981387478849e-20,"CTPS1"
"COAD",2980,1.7777e-13,13.376,2235.502,-7.38480827383679,9.33428154496361e-13,"GUCA2A"
"COAD",149466,3.3698e-20,37.368,123.233,-1.7215133850955,3.06835657166124e-19,"C1orf210"
"COAD",6536,5.3663e-11,11.976,34.532,-1.52778776709511,2.25873455486542e-10,"SLC6A9"
"COAD",11004,1e-20,32.7,10.416,1.65048928210717,9.45981387478849e-20,"KIF2C"
"COAD",94161,8.6396e-12,4.725,1.173,2.01011131596729,3.90949766895994e-11,"SNORD46"
"COAD",266675,1.7199e-12,1,86.245,-6.43036891474613,8.27854578131726e-12,"BEST4"
"COAD",10103,2.1941e-16,361.467,2254.504,-2.64087422166995,1.47303087060943e-15,"TSPAN1"
"COAD",8438,1e-20,9.22,2.883,1.67719591382179,9.45981387478849e-20,"RAD54L"
"COAD",260293,2.0864e-20,5.337,1.722,1.63194386859147,1.92404796701031e-19,"CYP4X1"
"COAD",2306,3.2144e-13,8.408,29.762,-1.82363690408734,1.64870704587156e-12,"FOXD2"
"COAD",7804,1e-20,6.318,1,2.65946793708479,9.45981387478849e-20,"LRP8"
"COAD",55001,2.9798e-14,22.528,88.812,-1.97903538310514,1.67556619059593e-13,"TTC22"
"COAD",255738,1e-20,40.558,4.024,3.33328430152248,9.45981387478849e-20,"PCSK9"
"COAD",4070,9.7202e-19,15.252,1.881,3.01942668220292,7.95363456275156e-18,"TACSTD2"
"COAD",105378763,4.7982e-11,3.606,1,1.85039939677025,2.0314681294964e-10,"LINC01748"
"COAD",5236,1e-20,55.76,173.173,-1.63491154571693,9.45981387478849e-20,"PGM1"
"COAD",5567,1e-20,33.798,141.458,-2.06536398653237,9.45981387478849e-20,"PRKACB"
"COAD",1179,2.9441e-14,13.266,1418.589,-6.74057942461285,1.65715852756104e-13,"CLCA1"
"COAD",253152,1e-20,12.544,1,3.64892555945312,9.45981387478849e-20,"EPHX4"
"COAD",1806,3.3229e-13,4.245,15.748,-1.89133215871864,1.7016261209068e-12,"DPYD"
"COAD",8556,2.5455e-12,4.717,15.337,-1.70107480551823,1.21401186820218e-11,"CDC14A"
"COAD",1301,1e-20,10.03,1,3.32624970083746,9.45981387478849e-20,"COL11A1"
"COAD",2949,5.6422e-13,1.27,10.012,-2.9788297940288,2.83797837606838e-12,"GSTM5"
"COAD",5016,1e-20,6.151,1.973,1.64043001988005,9.45981387478849e-20,"OVGP1"
"COAD",100506392,5.1333e-18,8.162,2.158,1.91922784577008,3.97355444444444e-17,"SLC16A1-AS1"
"COAD",54855,7.2043e-13,8.491,41.051,-2.27341098877073,3.59058972364609e-12,"TENT5C"
"COAD",3158,1.1054e-11,96.131,952.328,-3.30838490435898,4.95888870611835e-11,"HMGCS2"
"COAD",10628,2.7967e-13,372.975,1080.159,-1.53409285655096,1.44273591926182e-12,"TXNIP"
"COAD",2330,1.4562e-13,17.429,86.123,-2.30490877878644,7.70404556422995e-13,"FMO5"
"COAD",8991,4.9424e-13,221.476,1909.047,-3.10763034545186,2.49891230386615e-12,"SELENBP1"
"COAD",6282,1e-20,1803.26,434.356,2.0536575527957,9.45981387478849e-20,"S100A11"
"COAD",3570,5.6699e-20,5.022,36.159,-2.84802084593951,5.06576003595685e-19,"IL6R"
"COAD",126669,9.9454e-11,1,3.673,-1.87695889606957,4.09366795877048e-10,"SHE"
"COAD",51043,2.0557e-16,51.264,165.268,-1.68878945201533,1.38552197408077e-15,"ZBTB7B"
"COAD",1944,1e-20,17.928,5.474,1.71154721414544,9.45981387478849e-20,"EFNA3"
"COAD",284618,9.1247e-16,7.283,2.353,1.63003152458591,5.81852483889364e-15,"RUSC1-AS1"
"COAD",92312,1e-20,5.895,1,2.55949181320504,9.45981387478849e-20,"MEX3A"
"COAD",128239,1e-20,29.089,6.924,2.07079607157673,9.45981387478849e-20,"IQGAP3"
"COAD",912,2.8282e-14,1.714,6.22,-1.85954747090546,1.59312434760705e-13,"CD1D"
"COAD",57863,1.3529e-11,1,8.052,-3.00934717225925,6.00891811320755e-11,"CADM3"
"COAD",57549,2.004e-11,10.956,43.59,-1.99227603253598,8.77186376981797e-11,"IGSF9"
"COAD",100505633,3.6422e-12,26.466,103.419,-1.96628918862491,1.70934981322141e-11,"LINC01133"
"COAD",962,2.2052e-11,4.78,18.849,-1.97940546259915,9.61866346791496e-11,"CD48"
"COAD",57823,3.2061e-11,9.104,49.839,-2.45270265878467,1.37986940531178e-10,"SLAMF7"
"COAD",81607,1e-20,13.244,3.462,1.93566128603036,9.45981387478849e-20,"NECTIN4"
"COAD",83540,1e-20,23.264,6.314,1.88147300860661,9.45981387478849e-20,"NUF2"
"COAD",10223,1.3673e-17,179.397,814.215,-2.18225403527182,1.02127354375417e-16,"GPA33"
"COAD",92241,2.3467e-13,4.239,14.025,-1.72620489932842,1.21931347815985e-12,"RCSD1"
"COAD",2329,4.3718e-14,3.429,11.85,-1.78902724973735,2.41996444059406e-13,"FMO4"
"COAD",6004,1e-20,19.298,3.623,2.41319462676598,9.45981387478849e-20,"RGS16"
"COAD",339479,6.8543e-12,1,9.545,-3.25474519762921,3.13525692166087e-11,"BRINP3"
"COAD",259266,1e-20,9.02,2.899,1.63757210008135,9.45981387478849e-20,"ASPM"
"COAD",2494,1e-20,4.875,28.268,-2.53569569014036,9.45981387478849e-20,"NR5A2"
"COAD",9928,1e-20,4.895,1.072,2.19100395403328,9.45981387478849e-20,"KIF14"
