"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"KIRC",102466751,1e-20,4.515,1.143,1.98190058415374,5.66341093670886e-20,"MIR6859-1"
"KIRC",57801,1e-20,23.22,5.43,2.0963438690612,5.66341093670886e-20,"HES4"
"KIRC",8784,1e-20,2.969,1,1.56997709332457,5.66341093670886e-20,"TNFRSF18"
"KIRC",7293,1e-20,19.513,2.443,2.99770983149452,5.66341093670886e-20,"TNFRSF4"
"KIRC",2563,1e-20,19.367,1,4.27552858882227,5.66341093670886e-20,"GABRD"
"KIRC",8764,1e-20,192.385,51.82,1.89241539786801,5.66341093670886e-20,"TNFRSF14"
"KIRC",440556,2.1501e-15,1,65.656,-6.03685495329737,8.5781549411345e-15,"PRDM16-DT"
"KIRC",63976,4.2531e-18,1,13.322,-3.73573878191235,2.01322401269841e-17,"PRDM16"
"KIRC",55966,9.3853e-13,2.863,9.22,-1.68723908031735,3.15751533995187e-12,"AJAP1"
"KIRC",6518,6.7759e-20,69.021,15.288,2.17463569275907,3.62559280861244e-19,"SLC2A5"
"KIRC",106614088,1e-20,4.992,1,2.31961793420016,5.66341093670886e-20,"MIR34AHG"
"KIRC",102724571,1e-20,3.758,1,1.90996506675797,5.66341093670886e-20,"LNCTAM34A"
"KIRC",84275,1e-20,3.114,13.076,-2.07008043268823,5.66341093670886e-20,"SLC25A33"
"KIRC",54897,1e-20,1.498,8.387,-2.48511723226764,5.66341093670886e-20,"CASZ1"
"KIRC",26232,2.6827e-13,4.124,44.949,-3.44617278201252,9.34890436272982e-13,"FBXO2"
"KIRC",1187,5.0695e-13,1,162.714,-7.34619457638219,1.73264726466993e-12,"CLCNKA"
"KIRC",1188,1e-20,1,394.067,-8.62229712998955,5.66341093670886e-20,"CLCNKB"
"KIRC",11240,4.0487e-11,5.766,39.102,-2.76159965884265,1.22418851155874e-10,"PADI2"
"KIRC",400743,2.1592e-20,7.538,1,2.91418179500227,1.19241153580247e-19,"AL590644.1"
"KIRC",8659,2.2548e-12,61.002,288.395,-2.24111770382247,7.40215129898723e-12,"ALDH4A1"
"KIRC",5909,2.441e-14,24.627,174.417,-2.82422786481345,9.04496454605699e-14,"RAP1GAP"
"KIRC",712,1e-20,429.362,78.786,2.44618331777508,5.66341093670886e-20,"C1QA"
"KIRC",714,1e-20,439.221,68.023,2.69085249466299,5.66341093670886e-20,"C1QC"
"KIRC",713,1e-20,525.312,78.36,2.7449852384521,5.66341093670886e-20,"C1QB"
"KIRC",55616,1e-20,9.452,28.482,-1.59135892117674,5.66341093670886e-20,"ASAP3"
"KIRC",864,1e-20,14.626,1.706,3.09984571536961,5.66341093670886e-20,"RUNX3"
"KIRC",57134,1e-20,7.086,64.691,-3.19052164368092,5.66341093670886e-20,"MAN1C1"
"KIRC",164091,1e-20,22.761,73.87,-1.69842463409513,5.66341093670886e-20,"PAQR7"
"KIRC",7780,1.5981e-12,1,23.383,-4.54738813200534,5.29762925744775e-12,"SLC30A2"
"KIRC",10256,1e-20,1,13.355,-3.73930807086039,5.66341093670886e-20,"CNKSR1"
"KIRC",1043,1e-20,85.172,16.352,2.38091212600717,5.66341093670886e-20,"CD52"
"KIRC",257101,1e-20,3.022,1,1.59550366050274,5.66341093670886e-20,"ZNF683"
"KIRC",8431,2.9849e-12,1,30.322,-4.92229300983836,9.71754035802649e-12,"NR0B2"
"KIRC",126695,1e-20,3.715,25.38,-2.77225795330251,5.66341093670886e-20,"KDF1"
"KIRC",388610,8.0552e-20,2.405,27.227,-3.50092922904833,4.28448521284185e-19,"TRNP1"
"KIRC",9473,1e-20,46.072,10.116,2.18725128503287,5.66341093670886e-20,"THEMIS2"
"KIRC",85028,1e-20,28.682,5.052,2.50521908264272,5.66341093670886e-20,"SNHG12"
"KIRC",692212,1e-20,6.426,1,2.68392098080932,5.66341093670886e-20,"SNORD99"
"KIRC",115273,1e-20,27.399,1.66,4.04486809243644,5.66341093670886e-20,"RAB42"
