"ncbi_gene_id","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value","gene_symbol"
84069,1e-20,5.362,1,2.42277121932047,5.48805712878601e-20,"PLEKHN1"
8784,1e-20,13.116,3.088,2.08658314912498,5.48805712878601e-20,"TNFRSF18"
339456,1e-20,4.957,1.664,1.57481182532923,5.48805712878601e-20,"TMEM52"
27237,1e-20,33.403,10.189,1.71296521520439,5.48805712878601e-20,"ARHGEF16"
388591,1e-20,7.168,2.446,1.55114623353022,5.48805712878601e-20,"RNF207"
83715,1e-20,7.755,1.554,2.31914027751574,5.48805712878601e-20,"ESPN"
8718,1e-20,16.63,3.999,2.0560769823645,5.48805712878601e-20,"TNFRSF25"
6518,1e-20,4.5,1,2.16992500144231,5.48805712878601e-20,"SLC2A5"
23254,7.8876e-17,4.618,13.491,-1.54665721161606,3.45704899115044e-16,"KAZN"
27129,6.9172e-13,3.962,13.324,-1.74972647378486,2.39458894687791e-12,"HSPB7"
22977,1e-20,3.697,1,1.88635504352516,5.48805712878601e-20,"AKR7A3"
55450,2.2147e-13,25.561,86.813,-1.76396681968004,7.92025335365854e-13,"CAMK2N1"
57576,1.0814e-19,1.038,4.533,-2.1266597175281,5.62979719691661e-19,"KIF17"
249,3.2209e-13,56.696,255.805,-2.17372560435045,1.14215112649165e-12,"ALPL"
712,4.8852e-19,351.35,1061.124,-1.59461245176031,2.44446458015267e-18,"C1QA"
713,3.9459e-15,410.642,1365.953,-1.73395474660049,1.56592366987179e-14,"C1QB"
2048,1e-20,6.154,1.613,1.9317780051779,5.48805712878601e-20,"EPHB2"
79000,1e-20,3.128,1,1.64524051264527,5.48805712878601e-20,"AUNIP"
79927,1.2178e-12,1.148,6.063,-2.4009091804252,4.14304817585101e-12,"FAM110D"
1043,1.4536e-14,130.358,683.779,-2.39105099286193,5.57309189747119e-14,"CD52"
115572,5.5312e-19,4.003,35.384,-3.14394362651112,2.75657098389982e-18,"TENT5B"
8547,4.4045e-13,11.613,402.759,-5.11610420899031,1.54806957104558e-12,"FCN3"
2268,3.2934e-16,16.923,72.701,-2.10298986573032,1.39295864516129e-15,"FGR"
27293,1e-20,42.931,14.111,1.60519954755455,5.48805712878601e-20,"SMPDL3B"
1104,1e-20,62.325,19.126,1.70427579684876,5.48805712878601e-20,"RCC1"
8420,1e-20,23.83,8.341,1.51448668809869,5.48805712878601e-20,"SNHG3"
692212,1e-20,10.508,3.239,1.69786773233845,5.48805712878601e-20,"SNORD99"
347735,1e-20,216.928,56.177,1.94916479310101,5.48805712878601e-20,"SERINC2"
65108,1e-20,342.312,89.829,1.93005868936498,5.48805712878601e-20,"MARCKSL1"
81493,1e-20,1.164,4.705,-2.01510366470762,5.48805712878601e-20,"SYNC"
2707,1e-20,4.694,1.47,1.67500168679944,5.48805712878601e-20,"GJB3"
63967,1e-20,3.213,1,1.68392098080932,5.48805712878601e-20,"CLSPN"
1441,8.3272e-11,27.051,89.064,-1.71916047942068,2.50862809407948e-10,"CSF3R"
284654,1.3168e-12,1,5.99,-2.58255600301406,4.47166259332622e-12,"RSPO1"
55143,1e-20,17.907,2.225,3.00864641842984,5.48805712878601e-20,"CDCA8"
284656,1e-20,5.719,1,2.5157629055412,5.48805712878601e-20,"EPHA10"
149175,1e-20,7.876,2.493,1.65958022841005,5.48805712878601e-20,"MANEAL"
54933,1e-20,10.488,1.767,2.56936564567014,5.48805712878601e-20,"RHBDL2"
353500,1e-20,5.184,1.196,2.11584832868652,5.48805712878601e-20,"BMP8A"
84879,1.8308e-18,41.341,154.229,-1.89942887197518,8.83373881792596e-18,"MFSD2A"
1907,9.0816e-14,4.844,1.343,1.85073956026689,3.31371347740668e-13,"EDN2"
6513,1e-20,79.805,9.346,3.0940581957266,5.48805712878601e-20,"SLC2A1"
7075,2.475e-18,14.662,64.798,-2.14386737414491,1.18369796137339e-17,"TIE1"
991,1e-20,40.875,3.131,3.7065233170215,5.48805712878601e-20,"CDC20"
11004,1e-20,15.092,1.331,3.50320152889822,5.48805712878601e-20,"KIF2C"
8438,1e-20,3.279,1,1.71325590173097,5.48805712878601e-20,"RAD54L"
1580,1e-20,39.383,690.655,-4.13232030930433,5.48805712878601e-20,"CYP4B1"
6886,1.945e-16,1.094,8.32,-2.9269707902359,8.33619519230769e-16,"TAL1"
6491,1e-20,5.625,1.044,2.42973138442188,5.48805712878601e-20,"STIL"
84793,1e-20,4.007,1.387,1.5305547221072,5.48805712878601e-20,"FOXD2-AS1"
200010,4.9546e-11,1,8.064,-3.01149563883783,1.51638519912112e-10,"SLC5A9"
4998,1e-20,4.778,1,2.25640685379425,5.48805712878601e-20,"ORC1"
255738,1.2523e-12,3.147,26.833,-3.09195927696828,4.25846965212084e-12,"PCSK9"
4919,5.7566e-20,4.52,17.714,-1.9704953462263,3.03303414184397e-19,"ROR1"
57685,7.257e-11,6.184,18.985,-1.6182477745816,2.1975103125e-10,"CACHD1"
205,1e-20,8.133,1.401,2.53733065812805,5.48805712878601e-20,"AK4"
3953,1.2569e-15,7.831,37.821,-2.2719190560312,5.12768264689731e-15,"LEPR"
55635,1e-20,3.835,1,1.93922657772821,5.48805712878601e-20,"DEPDC1"
257194,7.9763e-12,1,3.11,-1.63691458035588,2.56889881647399e-11,"NEGR1"
