Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
BRCA,102466751,MIR6859-1,0.05712,0.159006720607627
BRCA,102465909,MIR6859-2,0.03674,0.0
BRCA,400728,FAM87B,0.66402,0.0
BRCA,79854,LINC00115,1.7678e-19,0.0
BRCA,284593,FAM41C,0.23725,0.0
BRCA,100130417,LINC02593,1e-20,0.820604473416912
BRCA,148398,SAMD11,1e-20,1.10165007609443
BRCA,26155,NOC2L,1e-20,0.514986186780576
BRCA,339451,KLHL17,1e-20,0.709209389269844
BRCA,84069,PLEKHN1,1e-20,0.658373572026745
BRCA,84808,PERM1,0.87414,0.22404027421793
BRCA,57801,HES4,1e-20,0.637229030126784
BRCA,9636,ISG15,1e-20,2.39246841880479
BRCA,375790,AGRN,1.4867e-11,0.39338890887443
BRCA,401934,RNF223,1e-20,1.15399260314116
BRCA,54991,C1orf159,1e-20,0.68935820728154
BRCA,254099,LINC01342,1.6553e-17,0.0
BRCA,406984,MIR200B,0.025333,0.0
BRCA,406983,MIR200A,0.61827,-0.338747269017122
BRCA,554210,MIR429,0.00518,0.262789590791481
BRCA,254173,TTLL10,3.792e-06,0.0
BRCA,8784,TNFRSF18,1e-20,2.27540147830042
BRCA,7293,TNFRSF4,1e-20,0.803680349361021
BRCA,51150,SDF4,1.9772e-11,0.227034659035962
BRCA,126792,B3GALT6,1e-20,0.403908082341801
BRCA,388581,C1QTNF12,2.9116e-08,-0.091374353020734
BRCA,118424,UBE2J2,1e-20,0.281061828222307
BRCA,6339,SCNN1D,1.9361e-11,0.215850388324077
BRCA,116983,ACAP3,1e-20,0.359697387259629
BRCA,102465434,MIR6726,0.92668,0.0
BRCA,126789,PUSL1,1e-20,0.892065367662829
BRCA,54973,INTS11,1.0324e-08,0.124935003528736
BRCA,80772,CPTP,1e-20,0.404864258426599
BRCA,83756,TAS1R3,1e-20,0.0
BRCA,1855,DVL1,3.5496e-11,0.2205418046796
BRCA,54587,MXRA8,0.25095,-0.32392033204424
BRCA,54998,AURKAIP1,1e-20,0.555219411830428
BRCA,81669,CCNL2,0.037008,-0.30297215020392
BRCA,148413,MRPL20-AS1,5.4311000000000005e-19,0.375098218879585
BRCA,55052,MRPL20,1.3154e-14,0.181878549167588
BRCA,441869,ANKRD65,1e-20,-1.6427197619563
