Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
COAD,102466751,MIR6859-1,3.4455e-08,1.31246060228863
COAD,102465909,MIR6859-2,0.010837,0.0
COAD,400728,FAM87B,0.0032904,0.0
COAD,79854,LINC00115,4.0578e-15,0.258217389536018
COAD,284593,FAM41C,0.15779,0.0
COAD,100130417,LINC02593,0.19203,-0.759080755547561
COAD,148398,SAMD11,0.7435,-0.489765762894579
COAD,26155,NOC2L,1e-20,0.860357816003299
COAD,339451,KLHL17,1e-20,1.33383158684607
COAD,84069,PLEKHN1,1e-20,1.5935928058646
COAD,84808,PERM1,6.1095e-16,0.0
COAD,57801,HES4,4.5631e-15,0.819378329221022
COAD,9636,ISG15,0.11751,0.249960533406114
COAD,375790,AGRN,1e-20,0.997229908417461
COAD,401934,RNF223,0.44125,-0.165611176548216
COAD,54991,C1orf159,9.9613e-14,0.649863413941619
COAD,254099,LINC01342,8.4577e-10,0.0
COAD,406984,MIR200B,7.4294e-07,0.598133945572516
COAD,406983,MIR200A,4.7311e-08,1.18940430259324
COAD,554210,MIR429,2.8122e-06,0.66233375181383
COAD,254173,TTLL10,0.00015814,0.0
COAD,8784,TNFRSF18,0.0008364,-0.852277627742491
COAD,7293,TNFRSF4,1.1159e-06,0.354640870597264
COAD,51150,SDF4,3.1013e-13,-0.373333405941586
COAD,126792,B3GALT6,1e-20,0.693069974962586
COAD,388581,C1QTNF12,3.2042e-10,-2.13013900928107
COAD,118424,UBE2J2,0.00022706,-0.0945048976775804
COAD,6339,SCNN1D,0.00063911,0.0
COAD,116983,ACAP3,4.7192e-10,0.564175369259362
COAD,102465434,MIR6726,0.5468,0.0
COAD,126789,PUSL1,1e-20,0.694304712857331
COAD,54973,INTS11,8.3749e-07,0.180332328418143
COAD,80772,CPTP,4.4249e-16,-1.11851538165887
COAD,83756,TAS1R3,0.15641,-0.705512433203172
COAD,1855,DVL1,1e-20,0.595290718307949
COAD,54587,MXRA8,5.2881e-05,0.309618788135045
COAD,54998,AURKAIP1,4.7868e-05,-0.181005147598449
COAD,81669,CCNL2,1e-20,1.10284862916222
COAD,148413,MRPL20-AS1,1.7465e-08,0.254288801539164
COAD,55052,MRPL20,3.3018e-05,0.249791671004226
COAD,441869,ANKRD65,0.00030427,-1.467488887714
COAD,643965,TMEM88B,0.29695,0.0
COAD,64856,VWA1,0.00089886,0.641812955600952
COAD,219293,ATAD3C,1e-20,0.104336659814736
COAD,83858,ATAD3B,1e-20,1.47383990451822
COAD,55210,ATAD3A,1e-20,0.949298916288417
COAD,339453,TMEM240,0.023981,-0.519038609600059
COAD,29101,SSU72,0.95384,-0.0015722048074341
