Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
KIRC,102466751,MIR6859-1,1e-20,1.98190058415374
KIRC,102465909,MIR6859-2,2.1678e-15,0.0
KIRC,400728,FAM87B,0.059997,0.0
KIRC,79854,LINC00115,1e-20,0.212880566344385
KIRC,284593,FAM41C,0.092358,0.0
KIRC,100130417,LINC02593,0.56236,-1.02627520757136
KIRC,148398,SAMD11,0.0081954,-1.26570783222058
KIRC,26155,NOC2L,1.071e-06,0.160381102865765
KIRC,339451,KLHL17,1e-20,0.750240921985415
KIRC,84069,PLEKHN1,1e-20,1.22527492986957
KIRC,84808,PERM1,1e-20,0.871843648509318
KIRC,57801,HES4,1e-20,2.0963438690612
KIRC,9636,ISG15,2.7457e-16,1.31134784763884
KIRC,375790,AGRN,0.55789,-0.0565548111594535
KIRC,401934,RNF223,0.00072164,0.0
KIRC,54991,C1orf159,1e-20,0.534418931013284
KIRC,254099,LINC01342,0.03172,0.0
KIRC,406984,MIR200B,0.048189,0.0
KIRC,406983,MIR200A,0.053142,0.0
KIRC,554210,MIR429,0.2231,-0.880723500716092
KIRC,254173,TTLL10,0.074385,0.0
KIRC,8784,TNFRSF18,1e-20,1.56997709332457
KIRC,7293,TNFRSF4,1e-20,2.99770983149452
KIRC,51150,SDF4,3.2703e-11,0.167420346897833
KIRC,126792,B3GALT6,8.3327e-07,0.169336908896971
KIRC,388581,C1QTNF12,0.045606,-0.119141409775698
KIRC,118424,UBE2J2,3.5125e-13,0.185810283471359
KIRC,6339,SCNN1D,1e-20,1.40163046658474
KIRC,116983,ACAP3,1e-20,0.533246913210499
KIRC,102465434,MIR6726,0.45487,0.0
KIRC,126789,PUSL1,0.061571,-0.0676266362661733
KIRC,54973,INTS11,1e-20,0.30151539489937
KIRC,80772,CPTP,3.6668e-08,-0.448696810630075
KIRC,83756,TAS1R3,0.00019098,0.0
KIRC,1855,DVL1,6.696e-05,0.163279836259936
KIRC,54587,MXRA8,4.8638e-17,0.740570378219591
KIRC,54998,AURKAIP1,9.9298e-11,-0.450652339140321
KIRC,81669,CCNL2,1e-20,1.46001515648566
KIRC,148413,MRPL20-AS1,7.630700000000001e-19,-0.569166814958623
KIRC,55052,MRPL20,5.141e-17,-0.309433278474277
KIRC,441869,ANKRD65,8.0415e-10,-0.944374754658497
KIRC,643965,TMEM88B,0.46986,0.0
KIRC,64856,VWA1,1e-20,1.13091774241293
KIRC,219293,ATAD3C,5.4324e-09,-0.991557996357006
KIRC,83858,ATAD3B,1e-20,1.00792419453729
KIRC,55210,ATAD3A,0.0018913,-0.0105574032961025
KIRC,339453,TMEM240,0.58853,-0.319617934200161
KIRC,29101,SSU72,1e-20,-0.622437780048939
KIRC,643988,FNDC10,3.0313e-10,-1.66078546355009
KIRC,142678,MIB2,1e-20,0.404577200566114
KIRC,8510,MMP23B,0.52643,-0.680119733761496
KIRC,984,CDK11B,0.43205,-0.0276400917088897
KIRC,728661,SLC35E2B,0.017138,-0.133015491499898
KIRC,728642,CDK11A,3.9673e-15,0.0
KIRC,9906,SLC35E2A,0.12665,-0.180878109663144
KIRC,65220,NADK,0.0093722,-0.0337763214305982
KIRC,2782,GNB1,0.072415,-0.0410202704170835
KIRC,163688,CALML6,8.1103e-12,0.0
KIRC,339456,TMEM52,7.0973e-08,-1.03433636387026
KIRC,85452,CFAP74,3.6471e-06,0.0
KIRC,2563,GABRD,1e-20,4.27552858882227
KIRC,5590,PRKCZ,1e-20,-0.912481511026721
KIRC,100506504,PRKCZ-AS1,0.0030769,-0.0564790268965534
KIRC,199990,FAAP20,2.3619e-09,0.172006557799092
KIRC,6497,SKI,5.2584e-18,0.491470486414528
KIRC,79906,MORN1,0.97044,-0.111469951244596
KIRC,11079,RER1,1.4409e-05,-0.073524727001303
KIRC,5192,PEX10,0.19153,-0.055955397583988
KIRC,9651,PLCH2,0.66497,-0.285085451512878
KIRC,55229,PANK4,3.851e-11,-0.362031282468111
KIRC,388585,HES5,6.1898e-14,0.0
KIRC,8764,TNFRSF14,1e-20,1.89241539786801
KIRC,100996583,AL139246.3,1.0251e-12,0.205392512989685
KIRC,127281,PRXL2B,0.0030093,-0.0732506835316383
KIRC,79258,MMEL1,0.028287,0.0
KIRC,100287898,TTC34,1e-20,0.914868653032043
KIRC,440556,PRDM16-DT,2.1501e-15,-6.03685495329737
KIRC,63976,PRDM16,4.2531e-18,-3.73573878191235
KIRC,100422968,MIR4251,0.44002,0.0
KIRC,27237,ARHGEF16,1.8532e-06,0.122958969442631
KIRC,1953,MEGF6,1e-20,0.918374261923073
KIRC,693135,MIR551A,0.05926,0.0
KIRC,127262,TPRG1L,1e-20,-0.678766785922316
KIRC,49856,WRAP73,6.3834e-05,0.110126189085536
KIRC,7161,TP73,4.2872e-07,0.0
KIRC,148870,CCDC27,0.56334,-0.102881701430906
KIRC,388588,SMIM1,0.00089265,-0.52302652252439
KIRC,57470,LRRC47,1e-20,-0.387985464282619
KIRC,9731,CEP104,5.0932e-18,-0.522467920945088
KIRC,1677,DFFB,0.00022916,0.0295803341256554
KIRC,339448,C1orf174,0.01887,0.0246238623297748
KIRC,100133612,LINC01134,5.6346e-09,0.0
KIRC,55966,AJAP1,9.3853e-13,-1.68723908031735
KIRC,100616421,MIR4689,0.055462,0.0
KIRC,261734,NPHP4,0.26262,0.0650197918504101
KIRC,8514,KCNAB2,0.36882,0.239936427287049
KIRC,26038,CHD5,0.0059071,0.0
KIRC,6146,RPL22,7.5889e-12,-0.299014817800693
KIRC,388591,RNF207,1e-20,0.670110619409955
KIRC,23463,ICMT,1e-20,-0.933345973287245
KIRC,387509,GPR153,1.681e-06,0.293916975839945
KIRC,11332,ACOT7,0.44668,0.186367972361434
KIRC,54626,HES2,0.68028,0.0
KIRC,83715,ESPN,1.7656e-05,-0.888905211260187
KIRC,100422975,MIR4252,0.41407,0.0
KIRC,8718,TNFRSF25,1e-20,1.49085328097758
KIRC,57449,PLEKHG5,1e-20,0.691568788907703
KIRC,79707,NOL9,0.31379,-0.0090114387920898
KIRC,80835,TAS1R1,0.58024,0.0
