Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
LUAD,102466751,MIR6859-1,1.7858e-10,1.25175645266759
LUAD,102465909,MIR6859-2,4.5676e-05,0.22404027421793
LUAD,400728,FAM87B,0.0063499,0.0
LUAD,79854,LINC00115,1e-20,0.158337027167101
LUAD,284593,FAM41C,0.0002882,0.0
LUAD,100130417,LINC02593,8.8107e-06,0.456632859023763
LUAD,148398,SAMD11,3.0635e-06,0.507603618014916
LUAD,26155,NOC2L,1e-20,0.75915415392657
LUAD,339451,KLHL17,1e-20,1.37512766148124
LUAD,84069,PLEKHN1,1e-20,2.42277121932047
LUAD,84808,PERM1,1e-20,0.560714954474479
LUAD,57801,HES4,4.0368000000000005e-19,0.682592019691434
LUAD,9636,ISG15,1e-20,1.11171881585165
LUAD,375790,AGRN,1.2294e-14,0.366017007925996
LUAD,401934,RNF223,4.1253e-20,0.467778961350817
LUAD,54991,C1orf159,1e-20,0.948624115324168
LUAD,254099,LINC01342,4.0776e-05,0.0
LUAD,406984,MIR200B,0.0076577,0.0
LUAD,406983,MIR200A,6.5944e-05,0.481298941547565
LUAD,554210,MIR429,1.4027e-13,0.960323028943912
LUAD,254173,TTLL10,0.00093119,-1.34369206917902
LUAD,8784,TNFRSF18,1e-20,2.08658314912498
LUAD,7293,TNFRSF4,2.2939e-09,0.644874952313935
LUAD,51150,SDF4,1e-20,0.391191577607271
LUAD,126792,B3GALT6,1.2718e-12,0.272272066493559
LUAD,388581,C1QTNF12,2.4941e-14,0.709290635723358
LUAD,118424,UBE2J2,1e-20,0.407113622766156
LUAD,6339,SCNN1D,1e-20,1.07563616301931
LUAD,116983,ACAP3,1e-20,0.865510687868131
LUAD,102465434,MIR6726,0.29692,0.0
LUAD,126789,PUSL1,1e-20,1.13681428333191
LUAD,54973,INTS11,1e-20,0.512906637939617
LUAD,80772,CPTP,1e-20,0.489109207757017
LUAD,83756,TAS1R3,1e-20,0.976730220677153
LUAD,1855,DVL1,1e-20,0.466436569226885
LUAD,54587,MXRA8,1.1676e-15,0.652180016250655
LUAD,54998,AURKAIP1,1e-20,0.620906739272238
LUAD,81669,CCNL2,1e-20,0.910324532655077
LUAD,148413,MRPL20-AS1,1.7564000000000002e-19,0.452669955436483
LUAD,55052,MRPL20,1e-20,0.372411711817118
LUAD,441869,ANKRD65,2.525e-12,0.278415492572624
LUAD,643965,TMEM88B,6.1287e-17,0.0
LUAD,64856,VWA1,1e-20,0.87749925115275
LUAD,219293,ATAD3C,6.0947e-07,0.0266232105436834
LUAD,83858,ATAD3B,1e-20,1.30469727193264
LUAD,55210,ATAD3A,1e-20,1.1984164261269
LUAD,339453,TMEM240,0.46579,-0.181154388307195
LUAD,29101,SSU72,1.5061e-16,0.166540575408649
LUAD,643988,FNDC10,1.1844e-16,0.373142875296043
LUAD,142678,MIB2,0.00010915,0.0652081347362238
LUAD,8510,MMP23B,6.7515e-05,-0.725841916076949
LUAD,984,CDK11B,6.6719e-06,0.196316460040147
LUAD,728661,SLC35E2B,2.1613e-05,0.244222365019027
LUAD,728642,CDK11A,2.7974e-11,0.0
LUAD,9906,SLC35E2A,3.557e-06,0.529396131613947
LUAD,65220,NADK,1e-20,0.468148835738406
LUAD,2782,GNB1,0.053654,-0.0319157873061323
LUAD,163688,CALML6,1.4807e-15,0.0
LUAD,339456,TMEM52,1e-20,1.57481182532923
LUAD,85452,CFAP74,0.0064242,-0.738983954700512
LUAD,2563,GABRD,1.6412e-14,0.961252884058208
LUAD,5590,PRKCZ,8.1977e-18,-1.13197978538027
LUAD,100506504,PRKCZ-AS1,0.68965,-0.421285882257728
LUAD,199990,FAAP20,1e-20,0.491596110629655
LUAD,6497,SKI,2.4591e-10,-0.640230882606248
LUAD,79906,MORN1,0.0060098,0.547410169703701
LUAD,11079,RER1,1e-20,0.533631780698014
LUAD,5192,PEX10,1e-20,0.405256478486258
LUAD,9651,PLCH2,4.4884e-10,0.636651977732657
LUAD,55229,PANK4,0.0032641,-0.0082993232184866
LUAD,388585,HES5,0.00020645,0.0
LUAD,8764,TNFRSF14,0.0098164,0.0098502133019452
LUAD,100996583,AL139246.3,6.5273e-08,0.0
LUAD,127281,PRXL2B,6.4771e-16,0.43497089698022
LUAD,79258,MMEL1,0.046795,-0.16349873228288
LUAD,100287898,TTC34,0.12279,-0.0014419741739062
LUAD,440556,PRDM16-DT,0.014857,-1.73938825643306
LUAD,63976,PRDM16,2.5852e-07,-1.5454534682247
LUAD,100422968,MIR4251,0.0052175,0.0
LUAD,27237,ARHGEF16,1e-20,1.71296521520439
LUAD,1953,MEGF6,0.01318,-0.620605338613843
LUAD,693135,MIR551A,0.017233,0.0
LUAD,127262,TPRG1L,7.8679e-10,-0.364566741458943
LUAD,49856,WRAP73,1e-20,0.749600835538538
LUAD,7161,TP73,0.89012,0.515834066940558
LUAD,148870,CCDC27,0.3882,-0.263358279455289
LUAD,388588,SMIM1,2.8352e-14,0.320493366247128
LUAD,57470,LRRC47,7.2019e-14,0.237819726137221
LUAD,9731,CEP104,0.76895,-0.080635563138486
LUAD,1677,DFFB,2.1254e-17,0.455009634543068
LUAD,339448,C1orf174,1e-20,0.48766875324799
LUAD,100133612,LINC01134,1e-20,0.0
LUAD,55966,AJAP1,0.028453,0.0
LUAD,100616421,MIR4689,0.60455,0.0
LUAD,261734,NPHP4,0.10204,-0.0134474347722135
LUAD,8514,KCNAB2,2.3373e-13,-1.15752968388787
LUAD,26038,CHD5,0.032966,0.0
LUAD,6146,RPL22,0.68425,-0.0640809242382484
LUAD,388591,RNF207,1e-20,1.55114623353022
LUAD,23463,ICMT,1e-20,0.427986250762966
LUAD,387509,GPR153,0.4027,-0.41672066583106
LUAD,11332,ACOT7,1.345e-05,0.142829125228028
LUAD,54626,HES2,0.11852,-0.854314450666753
LUAD,83715,ESPN,1e-20,2.31914027751574
LUAD,100422975,MIR4252,0.078731,0.0
LUAD,8718,TNFRSF25,1e-20,2.0560769823645
LUAD,57449,PLEKHG5,2.8551e-11,0.371101571549817
LUAD,79707,NOL9,6.1098e-06,0.106955818044123
LUAD,80835,TAS1R1,0.014506,0.0
LUAD,3104,ZBTB48,1.0002e-11,0.330162713318454
LUAD,9903,KLHL21,0.0068397,0.0248413548279575
LUAD,148479,PHF13,1.9303e-10,0.417977512714054
LUAD,90326,THAP3,4.1888e-13,0.366838141716308
LUAD,55735,DNAJC11,1e-20,0.36030388052279
LUAD,23261,CAMTA1,2.5535e-06,0.099982246193822
LUAD,9341,VAMP3,1.4356e-20,-0.481165958478491
LUAD,8863,PER3,0.0016992,-0.701577711842095
LUAD,10911,UTS2,1.8281e-06,0.0
LUAD,3604,TNFRSF9,2.7274000000000003e-20,1.27381424458704
LUAD,11315,PARK7,1e-20,0.504081371846508
LUAD,54206,ERRFI1,5.1987e-07,0.786943003086163
LUAD,102724539,LINC01714,3.7749e-18,0.0
LUAD,50651,SLC45A1,1.3794e-14,0.11439234830686
LUAD,473,RERE,0.12927,-0.268417955513292
LUAD,2023,ENO1,1e-20,1.23090285589501
LUAD,102465436,MIR6728,1.2402e-06,0.0
LUAD,100505975,ENO1-AS1,2.8149e-09,0.0
LUAD,765,CA6,0.18511,0.0
LUAD,6518,SLC2A5,1e-20,2.16992500144231
LUAD,80045,GPR157,6.0082e-06,0.0731123696503567
LUAD,106614088,MIR34AHG,1e-20,1.12793808838363
LUAD,102724571,LNCTAM34A,5.713e-15,0.591209172731811
LUAD,9563,H6PD,0.12821,-0.272798596522228
LUAD,80176,SPSB1,2.834e-07,1.09239250381818
LUAD,100506022,LINC02606,1.2079e-05,-0.521050736900963
LUAD,84275,SLC25A33,3.8045e-05,0.237115759247474
LUAD,199953,TMEM201,3.3723e-18,0.477594845402383
LUAD,5293,PIK3CD,0.43529,-0.0748942865883573
LUAD,644997,PIK3CD-AS1,0.005436,0.0
LUAD,101929074,PIK3CD-AS2,1e-20,1.37959215884853
