"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"PAAD",148398,0.00044409,5.16,9.445,-0.872179730965116,0.0107382152009744,"SAMD11"
"PAAD",84069,0.024176,6.13,4.295,0.513228942552318,0.192640876404494,"PLEKHN1"
"PAAD",84808,0.00075976,1.885,1.204,0.646729131396325,0.0160454845957447,"PERM1"
"PAAD",401934,2.5743e-06,2.386,1,1.25459404303314,0.000145598300854701,"RNF223"
"PAAD",254099,1.7534e-06,1,1,0,0.000103905960597015,"LINC01342"
"PAAD",406984,0.0019145,2.65,1.219,1.12029423371771,0.0320620652649285,"MIR200B"
"PAAD",406983,0.0019188,4.755,2.945,0.691177707030103,0.0320620652649285,"MIR200A"
"PAAD",554210,0.0082981,15.114,8.846,0.772788380556744,0.0934925545970488,"MIR429"
"PAAD",254173,4.3955e-06,1,1,0,0.000229630173684211,"TTLL10"
"PAAD",388581,0.0025541,5.667,2.537,1.15946168304559,0.0394276774494557,"C1QTNF12"
"PAAD",1855,0.02303,59.219,38.12,0.635512009443535,0.186913965658217,"DVL1"
"PAAD",55210,0.042371,20.977,18.13,0.210429442318533,0.274436897879282,"ATAD3A"
"PAAD",100996583,0.013947,5.756,1.551,1.89186790570421,0.133869069115515,"AL139246.3"
"PAAD",127281,0.005272,52.523,34.475,0.607398770460982,0.0677409346278317,"PRXL2B"
"PAAD",79258,1.1801e-14,2.599,1.112,1.22479984574869,7.321045375e-12,"MMEL1"
"PAAD",100422968,0.010399,1,1,0,0.108653130526316,"MIR4251"
"PAAD",27237,0.0059056,50.15,25.358,0.983808737058281,0.0737294046511628,"ARHGEF16"
"PAAD",127262,1.961e-07,96.972,81.006,0.25953946879048,1.58251105691057e-05,"TPRG1L"
"PAAD",7161,0.012679,1.422,1,0.507921464957328,0.125101147117296,"TP73"
"PAAD",100616421,0.002199,1,1,0,0.0352906612772838,"MIR4689"
"PAAD",26038,0.013188,1,1,0,0.12858947740668,"CHD5"
"PAAD",54626,0.019163,1,1.478,-0.563646269484064,0.165614748476936,"HES2"
"PAAD",83715,7.7975e-06,4.107,1.588,1.3708740348361,0.000378474254278729,"ESPN"
"PAAD",102724539,0.013055,1,1,0,0.127606036435254,"LINC01714"
"PAAD",102465436,3.4953e-05,1,1,0,0.0013552479609375,"MIR6728"
"PAAD",100505975,0.039563,1,1,0,0.26311714438861,"ENO1-AS1"
"PAAD",80045,0.00057377,7.819,6.803,0.200813018768985,0.01313781088812,"GPR157"
"PAAD",22883,0.0078198,144.229,114.068,0.338467152415109,0.0892176262068965,"CLSTN1"
"PAAD",100847055,0.016932,1,1,0,0.152510918330309,"MIR5697"
"PAAD",1325,0.0046713,1,1,0,0.0622798170584285,"CORT"
"PAAD",54897,0.018975,5.81,4.121,0.495543700011392,0.16466401048951,"CASZ1"
"PAAD",105376736,0.00063709,1,1,0,0.0141459363128492,"EXOSC10-AS1"
"PAAD",374946,0.0031773,1,1,0,0.0463548572687225,"DRAXIN"
"PAAD",943,0.013952,1,2.364,-1.24123003551545,0.133869069115515,"TNFRSF8"
"PAAD",100616438,0.03361,1,1,0,0.239063317807238,"MIR4632"
"PAAD",102466722,5.6885e-14,1.489,1,0.574343753920013,2.97179215789474e-11,"MIR6730"
"PAAD",63036,0.00015794,2.844,19.99,-2.81328510201257,0.00478690821374046,"CELA2A"
"PAAD",23207,0.0012154,46.62,69.179,-0.569385154871872,0.022570739756782,"PLEKHM2"
"PAAD",388595,0.00042677,1,1,0,0.0104642097777778,"TMEM82"
"PAAD",348487,0.027995,1.846,2.203,-0.255066942055109,0.211603758266819,"FAM131C"
"PAAD",1969,0.005696,107.279,20.998,2.35304386741891,0.0719846392879848,"EPHA2"
