"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"600","GO:0010717","GO:0010717","regulation of epithelial to mesenchymal transition","16/1187","107/18903",0.00102307735213742,0.009485169727304,0.00693818286623363,"MARK1/EPHA4/TGFBR2/IL17RD/LEF1/SPRY1/EZH2/SFRP1/GATA3/RGCC/SPRY2/FOXA1/FERMT2/HPN/BMP2/MIR221",16
"601","GO:0014013","GO:0014013","regulation of gliogenesis","16/1187","107/18903",0.00102307735213742,0.009485169727304,0.00693818286623363,"ID4/DAAM2/PTPRZ1/PTN/EZH2/IL33/EGR2/NTRK3/IL34/SLC7A5/ASPA/GFAP/BMP2/E2F1/SOX10/MIR221",16
"599","GO:0003015","GO:0003015","heart process","30/1187","261/18903",0.00101236558804147,0.00941719708942752,0.00688846244951513,"HSPB7/EDN2/GSTM2/RGS2/EPAS1/THRB/ANK2/PDE5A/EDN1/TBX18/HEY2/CACNA2D1/CAV1/GSN/CELF2/KCNIP2/ADM/DRD2/SCN2B/SCN3B/ABCC9/AVPR1A/EDNRB/ATP1B2/MAP2K6/KCNJ2/EDN3/ADM2/DMD/CLIC2",30
"597","GO:0010907","GO:0010907","positive regulation of glucose metabolic process","9/1187","42/18903",0.000997348606903298,0.00930188640275696,0.00680411534202497,"KAT2B/GPLD1/SORBS1/DGAT2/IGF1/FOXO1/IRS2/PPARA/RGN",9
"598","GO:0019915","GO:0019915","lipid storage","14/1187","87/18903",0.000998300084143694,0.00930188640275696,0.00680411534202497,"ACVR1C/MIR10B/PPARG/CAV1/LEP/LPL/SQLE/PNPLA2/DGAT2/ACACB/SMIM22/CES1/C3/PPARA",14
"596","GO:0045926","GO:0045926","negative regulation of growth","29/1187","249/18903",0.000990393542696866,0.00925918258373647,0.00677287848343742,"NPR1/RGS2/TGFBR2/HYAL1/SEMA3G/FGFR3/SLIT2/SPP1/SEMA5A/ADRB2/SLIT3/PI16/INHBA/SEMA3A/SEMA3D/SFRP1/SOX17/CCN3/PTCH1/RBP4/CRYAB/SOCS2/MEG3/MT1M/MT1X/GDF15/PTK6/PPARA/GPC3",29
"588","GO:0060193","GO:0060193","positive regulation of lipase activity","12/1187","68/18903",0.000980935248430924,0.00924356542007893,0.00676145488845461,"PLA2G5/CCN1/NMUR1/P2RY12/FGFR3/PDGFRA/KIT/FGF2/ADCYAP1R1/GPIHBP1/AVPR1A/ARHGAP6",12
"589","GO:0006874","GO:0006874","cellular calcium ion homeostasis","32/1187","284/18903",0.000981559645824621,0.00924356542007893,0.00676145488845461,"EDN2/GSTM2/TMEM178A/PTH1R/CXCL9/CXCL10/CXCL11/PKD2/SNCA/ANK2/FGF2/EDN1/CAV2/CAV1/MICU3/CCL21/CXCL12/CDH23/TRPC6/DRD2/PRKD1/CEMIP/CX3CL1/CDH5/CALB2/CCL14/HAP1/JPH2/EDN3/DMD/RGN/CLIC2",32
"590","GO:0001755","GO:0001755","neural crest cell migration","11/1187","59/18903",0.00098447890064807,0.00924356542007893,0.00676145488845461,"FN1/SEMA3G/SEMA5A/EDN1/SEMA3A/SEMA3D/RET/FOLR1/EDNRB/EDN3/SOX10",11
"591","GO:0051653","GO:0051653","spindle localization","11/1187","59/18903",0.00098447890064807,0.00924356542007893,0.00676145488845461,"ASPM/CENPA/MAD2L1/SPRY1/SAPCD2/ESPL1/SPRY2/PLK1/SPAG5/NDC80/MISP",11
"592","GO:0051785","GO:0051785","positive regulation of nuclear division","11/1187","59/18903",0.00098447890064807,0.00924356542007893,0.00676145488845461,"EDN1/NPM2/RAD51AP1/ESPL1/IGF1/RGCC/DLGAP5/CDT1/PLCB1/AURKA/EDN3",11
"593","GO:0061098","GO:0061098","positive regulation of protein tyrosine kinase activity","11/1187","59/18903",0.00098447890064807,0.00924356542007893,0.00676145488845461,"FCGR1A/EPHA4/DOK7/NEDD9/RELN/NRG1/NEURL1/ADRA2A/GPRC5B/IL34/PRNP",11
"594","GO:0007292","GO:0007292","female gamete generation","21/1187","159/18903",0.000987064146616469,0.00924356542007893,0.00676145488845461,"TDRD10/RGS2/ASPM/NCAPH/INHBB/BMPR1B/PDE5A/EDN1/TTK/INHBA/LEP/PTN/NPM2/NPR2/IGF1/CCNB2/PLK1/TOP2A/NDC80/AURKA/ADAMTS1",21
"595","GO:0036294","GO:0036294","cellular response to decreased oxygen levels","21/1187","159/18903",0.000987064146616469,0.00924356542007893,0.00676145488845461,"DDR2/CD34/EPAS1/SCN2A/EPHA4/PPARG/NDNF/CCNA2/EGR1/MIR145/KCNMB1/EDN1/AQP1/SFRP1/ADAM8/RGCC/FOS/SLC2A4/BRIP1/E2F1/PTGIS",21
"587","GO:0090596","GO:0090596","sensory organ morphogenesis","31/1187","272/18903",0.000968932377090582,0.00919742965101997,0.00672770763757686,"EPHA2/MFAP2/COL11A1/PROX1/OSR1/SIX2/EFEMP1/CYP26B1/THRB/RARB/NECTIN3/EPHB1/FGF2/FAT1/EDN1/SLC44A4/TBX18/SOBP/HOXA2/AQP1/NTRK2/TPRN/GATA3/CDH23/RBP4/HOXC13/LRIG3/SPRY2/ALDH1A3/PTPRM/HPN",31
"586","GO:0045637","GO:0045637","regulation of myeloid cell differentiation","26/1187","214/18903",0.000953443470643587,0.00906584815431069,0.00663145880785336,"ISG15/TAL1/TMEM178A/ADIPOQ/LEF1/PIK3R1/MIR145/FAXDC2/NEDD9/HOXA5/HOXA7/HOXA9/MTURN/INHBA/SFRP1/TLR4/IRF7/ZBTB16/TESC/FOS/MEIS2/IL34/PRKCA/ZFP36/MIR221/HMGB3",26
"584","GO:0072088","GO:0072088","nephron epithelium morphogenesis","13/1187","77/18903",0.000944665284612409,0.00899773498437665,0.00658163559517633,"KIF26B/OSR1/SIX2/PKD2/FGF2/IRX1/KLHL3/FGF1/PTCH1/GATA3/LGR4/BMP2/GPC3",13
"585","GO:1903036","GO:1903036","positive regulation of response to wounding","13/1187","77/18903",0.000944665284612409,0.00899773498437665,0.00658163559517633,"F3/DDR2/MYLK/F12/PTN/CCN4/KANK1/ANXA1/ADRA2A/F7/FERMT2/EMILIN2/MIR221",13
"582","GO:0061982","GO:0061982","meiosis I cell cycle process","19/1187","137/18903",0.000934243445341133,0.0089289956731403,0.00653135437457952,"RAD54L/SGO1/CDC25A/MND1/CDC25C/PTTG1/CCNE2/MAPK15/CKS2/RAD51AP1/ESPL1/RAD51/CCNB2/PLK1/TOP2A/EME1/BRIP1/NDC80/AURKA",19
"583","GO:1904019","GO:1904019","epithelial cell apoptotic process","19/1187","137/18903",0.000934243445341133,0.0089289956731403,0.00653135437457952,"E2F2/PLA2R1/TGFBR2/LEF1/NDNF/SEMA5A/ECSCR/ANGPT1/TEK/GSN/AKR1C3/GATA3/CD248/RGCC/CDH5/ANGPTL4/ZFP36/E2F1/PPARA",19
"580","GO:0010563","GO:0010563","negative regulation of phosphorus metabolic process","45/1187","441/18903",0.000916549167896639,0.00880207635776948,0.00643851582296509,"PLPP3/JUN/KIRREL1/DDR2/NIBAN1/RGS2/PID1/PPARG/KAT2B/ADIPOQ/SLIT2/SNCA/SPRY1/DUSP1/PRKN/INHBA/MLXIPL/PRKAR2B/CAV1/PBK/SFRP1/FABP4/ANGPT1/MIR27B/CDKN1C/DRD2/GPRC5A/IRAK3/PTPRB/DUSP6/SPRY2/IRS2/NTRK3/PLK1/DBNDD1/CEBPA/RASIP1/SIRPA/PRNP/BMP2/PPP1R16B/PTK6/PPARA/DMD/RGN",45
"581","GO:0030323","GO:0030323","respiratory tube development","24/1187","191/18903",0.000917804444340285,0.00880207635776948,0.00643851582296509,"EDN2/PROX1/PKDCC/EPAS1/THRB/TGFBR2/MME/PDGFRA/FGF2/SPRY1/FGF1/SPDEF/AGR2/HOXA5/NFIB/PCSK5/RBP4/SPRY2/FOXA1/FGF7/ALDH1A2/KLF2/CEBPA/GPC3",24
"579","GO:0002064","GO:0002064","epithelial cell development","26/1187","213/18903",0.000889390174667952,0.00855903636139867,0.00626073767169223,"EPHA2/ADAMTSL4/PROX1/EPAS1/RARB/ADIPOQ/TP63/FAT1/BMP6/NOTCH4/SPDEF/DACT2/HOXA5/ACTA2/PDE2A/ROBO4/RAPGEF3/EDNRB/FOXA1/CDH5/PECAM1/CEBPA/PLCB1/PPP1R16B/CLDN5/FOXP3",26
"577","GO:0035264","GO:0035264","multicellular organism growth","20/1187","147/18903",0.000887437232868668,0.00855534993426382,0.00625804113527591,"STIL/PKDCC/RARB/NPY1R/GHR/ADRB2/HOXA5/XRCC2/APBA1/PTCH1/ARID5B/GPAM/DRD2/TNS2/SOCS2/IGF1/STAT5A/KLF2/GDF15/COMP",20
"578","GO:0051235","GO:0051235","maintenance of location","37/1187","342/18903",0.000887471690955579,0.00855534993426382,0.00625804113527591,"GSTM2/ASPM/ACVR1C/MIR10B/CPS1/PPARG/CXCL9/CXCL10/CXCL11/PKD2/SNCA/ANK2/FGF2/SYNE1/CAV1/LEP/LPL/SQLE/CCL21/ANXA1/GSN/PNPLA2/DGAT2/DRD2/ACACB/PRKD1/CEMIP/SMIM22/CES1/CX3CL1/HAP1/C3/GRIK5/JPH2/PPARA/DMD/CLIC2",37
"576","GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","45/1187","440/18903",0.000874645055786773,0.00846097612993732,0.00618900887428067,"PLPP3/JUN/KIRREL1/DDR2/NIBAN1/RGS2/PID1/PPARG/KAT2B/ADIPOQ/SLIT2/SNCA/SPRY1/DUSP1/PRKN/INHBA/MLXIPL/PRKAR2B/CAV1/PBK/SFRP1/FABP4/ANGPT1/MIR27B/CDKN1C/DRD2/GPRC5A/IRAK3/PTPRB/DUSP6/SPRY2/IRS2/NTRK3/PLK1/DBNDD1/CEBPA/RASIP1/SIRPA/PRNP/BMP2/PPP1R16B/PTK6/PPARA/DMD/RGN",45
