"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"49","GO:0022607","GO:0022607","cellular component assembly",220,0.128166647788379,1.58144420313932,0.00954541980878036,0.0459738586708605,0.0332192912786771,103,"tags=15%, list=8%, signal=17%","1311/4751/2706/24137/9787/55355/126353/991/9156/5347/1063/259266/983/9212/10403/55723/4312/1058/6790/7083/3833/2335/9133/124093/284403/55143/5888/1062/79953/9493/3832/10615/9636/56992"
"48","GO:0007166","GO:0007166","cell surface receptor signaling pathway",289,-0.223668443766286,-1.55038203344724,0.007678098884079,0.0377506528467218,0.0272774565618596,440,"tags=39%, list=33%, signal=34%","8322/80310/55679/6387/1634/1840/407019/4909/2180/3745/64321/57502/4921/151306/2246/146433/2152/84441/7048/91653/117/111/56963/5745/654/147495/27303/5063/9365/2202/1910/388630/83643/9510/9314/467/3909/4684/301/6586/650/56920/667/55022/8406/64805/2893/1511/283383/10253/2690/84870/1288/3977/223117/660/858/3084/284/91584/4804/6358/7122/154/5468/3489/59352/6376/10580/3953/84913/2353/1958/152831/857/7049/79987/28999/6517/4881/6366/130399/2662/2532/2047/1908/3679/9068/2247/90865/1675/2564/1271/8626/5764/2719/3815/2348/5166/55273/4915/153579/50486/2920/406937/6422/7079/6663/91851/5284/2277/5021/9370/3952"
"47","GO:0050793","GO:0050793","regulation of developmental process",285,-0.220892574585027,-1.5346986484614,0.00742851395596691,0.0373006232682594,0.0269522790787601,554,"tags=49%, list=41%, signal=37%","4212/8835/7010/3204/10655/10252/81575/5071/3908/2670/133/3491/79812/4916/65989/2252/5740/91461/862/222166/3479/3373/5649/4781/947/10810/23768/8322/55679/6387/1634/56603/130733/1840/407019/4909/23531/4674/64321/6886/26051/58494/54997/1901/4921/2246/146433/2152/7048/91653/117581/7538/56963/2824/5997/654/147495/5803/5063/9365/358/163175/2202/1910/83643/54674/9510/1959/9314/51129/1960/3909/158376/301/3205/140862/650/56920/10826/161176/55022/84935/54873/10253/2690/84870/223117/7704/1620/3084/5140/91584/4804/57158/10218/7122/5168/3202/154/5468/6376/32/443/3400/84913/1215/9104/2353/857/7049/4881/3872/2662/2047/1908/3679/130497/57678/2247/90865/8626/5764/2719/3815/55273/4311/4915/406937/7148/126393/6422/4023/85329/6663/2277/5021/221476/5950/9370/3952"
"46","GO:0071702","GO:0071702","organic substance transport",163,-0.255761653180723,-1.67548556078559,0.00656788914045623,0.0336961268945146,0.0243477812529499,497,"tags=47%, list=37%, signal=34%","84889/10628/91461/57030/3479/4129/6622/222962/8322/6387/225/407019/2180/3745/57088/54997/7048/415117/111/7538/5321/2824/287/5997/654/27147/358/1910/6623/5243/116362/9182/1959/301/55022/30835/148641/6581/9194/23460/284/4804/64078/152078/5468/10349/10580/440738/338442/857/28999/6517/130399/1908/27065/9058/28965/56301/2719/2348/338328/10350/4915/1066/1645/6288/6422/80704/5021/5950/2167/364/9370/286753/63924/3952"
"44","GO:0022414","GO:0022414","reproductive process",136,0.156066973404061,1.71011312983767,0.00532259202212613,0.0279140381604837,0.0201698223996359,311,"tags=39%, list=23%, signal=33%","4751/9088/2706/83540/7153/991/3624/9156/5347/259266/983/10403/55723/9232/6790/701/9133/995/9700/23397/5888/7272/84057/1164/1869/5050/151648/81930/6696/8438/25790/1047/23542/57082/2491/10635/79733/225689/3169/9134/993/7516/29127/658/83990/146956/9148/2625/10733/2175/3880/284338/6652"
"45","GO:0001944","GO:0001944","vasculature development",133,-0.263076678192113,-1.6715505668468,0.00523380468908677,0.0279140381604837,0.0201698223996359,759,"tags=74%, list=56%, signal=36%","154810/5578/1012/57007/5175/9037/306/168667/3725/221395/54922/57381/641700/5629/2034/8434/1906/2308/1524/407006/4162/4856/5784/23493/2822/22899/10411/8613/5787/7010/3204/59/54538/81575/133/3491/79812/5740/3373/947/79625/8322/80310/1634/407019/64321/26051/1901/2246/2152/7048/3200/358/3164/9510/1959/9314/51129/1960/301/4638/140862/64344/10253/84870/284/5140/4804/10218/7122/5168/3202/5468/4223/6376/3953/1215/1958/857/7049/79987/4881/5138/2047/8854/130497/2247/2719/3815/2348/55273/4915/406937/126393/6422/85329/2277/3952"
"43","GO:0000003","GO:0000003","reproduction",138,0.15008904434937,1.68230390862348,0.00450921458406914,0.0247482474846585,0.0178823197703599,311,"tags=38%, list=23%, signal=33%","4751/9088/2706/83540/7153/991/3624/9156/5347/259266/983/10403/55723/9232/6790/701/9133/995/9700/23397/5888/7272/84057/1164/1869/5050/151648/81930/6696/8438/25790/1047/23542/57082/2491/10635/79733/225689/3169/9134/993/7516/29127/658/83990/146956/9148/2625/10733/2175/3880/284338/6652"
"41","GO:0007167","GO:0007167","enzyme-linked receptor protein signaling pathway",140,-0.271199367155826,-1.73892878512799,0.00324633911489102,0.0182677063173944,0.0131996807467346,238,"tags=29%, list=18%, signal=26%","10253/2690/1288/3977/858/3084/284/4804/7122/154/5468/3489/10580/84913/2353/1958/152831/857/7049/79987/6517/4881/130399/2662/2047/9068/2247/5764/2719/3815/2348/5166/55273/4915/6422/91851/5284/2277/9370/3952"
"42","GO:0072359","GO:0072359","circulatory system development",169,-0.261879723803851,-1.72306543962044,0.00325103248021426,0.0182677063173944,0.0131996807467346,299,"tags=33%, list=22%, signal=29%","9510/1959/9314/51129/1960/301/6586/4638/140862/650/64344/10253/84870/3084/284/5140/91584/4804/57158/10218/7122/5168/3202/5468/4223/6376/32/3953/1215/1958/857/7049/79987/4881/5138/2047/8854/130497/2247/2719/3815/2348/55273/4629/4915/406937/27129/126393/6422/85329/2277/5021/221476/5950/3952"
"40","GO:0009888","GO:0009888","tissue development",237,-0.239018659892165,-1.63812210276789,0.00308626410539307,0.0182089582218191,0.0131572311861494,545,"tags=51%, list=40%, signal=37%","3204/59/10655/54538/10252/81575/3908/54507/133/3491/79812/168002/220/10628/2252/91461/3479/3373/1373/4781/947/3918/64641/230/80310/56603/9079/4909/64321/26051/1901/4921/2246/1843/7048/3200/1827/60529/7538/56963/5745/2824/5997/654/147495/9365/358/2202/1910/3164/3914/1959/9314/467/3909/301/4638/650/56920/8644/10253/2690/84870/84649/223117/660/858/7704/3084/91584/4804/57158/7122/3202/154/5239/5468/4223/3400/84913/2353/1958/857/7049/79987/28999/4969/4222/5138/79192/3872/2047/1908/8854/3679/130497/2247/3131/3866/1756/8626/7123/5764/2719/2348/55273/4629/72/3852/1066/1645/3861/1308/406937/6422/1646/6663/221476/5950/9370/3952"
"39","GO:0071495","GO:0071495","cellular response to endogenous stimulus",163,-0.271483371631277,-1.77847798332842,0.00219766360392059,0.0132986823211605,0.00960921737746655,367,"tags=37%, list=27%, signal=31%","111/7538/56963/654/5187/9365/358/3164/2774/5737/1960/158376/4306/301/6586/650/8644/55022/64805/10253/2690/1288/858/5140/4804/7122/154/5468/10580/3953/2353/1958/152831/857/7049/28999/6517/5138/2662/2247/27065/8626/7123/2719/3815/2348/5166/55273/4915/1645/406937/2354/6422/1646/4023/6663/91851/2819/9370/286753/3952"
"38","GO:0007010","GO:0007010","cytoskeleton organization",179,0.152179375277746,1.77756766370659,0.00171787819157596,0.0106689277161033,0.007709037868014,112,"tags=18%, list=8%, signal=19%","4751/24137/83540/9787/126353/991/5347/11004/259266/983/9212/10403/221150/1058/6790/3833/9133/124093/9768/57405/284403/55143/9700/220134/146909/1062/9493/3832/10615/56992/4001/7272"
"37","GO:0051128","GO:0051128","regulation of cellular component organization",238,0.141599081635045,1.82212328450479,0.00160730033135772,0.0102519696810925,0.00740775686144952,164,"tags=21%, list=12%, signal=23%","4751/9088/83540/7153/9787/55355/991/3624/4288/5347/1063/147841/9212/10403/64151/221150/4312/9232/6790/3627/113130/2335/701/995/57405/284403/55143/9700/23397/220134/990/1062/79953/10615/9636/56992/11130/80736/116028/7272/4314/891/5979/157313/10460/81930/51364/81620/3249/6696/2146"
"36","GO:0042127","GO:0042127","regulation of cell population proliferation",211,-0.250753863768977,-1.69045722982229,0.00152618641826637,0.0100049998530795,0.00722930408652492,409,"tags=41%, list=30%, signal=34%","26051/54997/1901/4921/151306/2246/1843/146433/2152/7048/3200/7538/5321/5745/60495/654/5803/358/1910/3164/5737/9510/9314/467/1960/301/6586/650/8644/149461/55022/30835/8406/4081/10253/3977/858/7704/3084/284/4804/6358/7122/3202/10110/5468/3489/6376/554/3400/84913/9104/1958/152831/857/7049/4969/4881/130399/2047/1908/8854/130497/51085/57678/1805/2247/6869/90865/1264/1271/8626/5764/2719/3815/4915/6285/406937/6422/1646/6663/84417/2277/5950/9370/3952"
"35","GO:0006810","GO:0006810","transport",312,-0.232268111777635,-1.62081063241643,0.00141957266633418,0.0095719756929962,0.0069164141938688,378,"tags=35%, list=28%, signal=32%","6769/415117/83988/117/111/375033/7538/5321/2824/287/5997/2934/654/27147/5187/286097/358/1910/9737/3164/6623/5243/57685/116362/9182/1959/9481/84171/301/4638/650/667/161176/149461/55022/30835/148641/140738/8406/64805/2893/2690/6581/858/9194/23460/3084/284/4804/57158/5168/64078/10110/154/152078/5468/10349/6376/554/10580/3953/440738/338442/9104/3779/857/28999/6854/6517/4881/6366/130399/1908/130497/2247/6869/27065/9058/28965/56301/2564/1036/1756/2719/3815/2348/1410/338328/10350/4915/1066/1645/6288/6422/80704/30819/342667/5284/10894/5021/286133/5950/2167/364/9370/286753/63924/3952"
"34","GO:0051094","GO:0051094","positive regulation of developmental process",173,-0.275732263301156,-1.81868842532864,0.00112565542782261,0.00781337296959227,0.00564570214573572,546,"tags=54%, list=40%, signal=37%","7010/10655/10252/5071/3908/2670/133/3491/79812/5740/91461/222166/3479/3373/5649/947/23768/8322/55679/6387/1634/56603/407019/23531/4674/64321/6886/54997/4921/2246/146433/2152/7048/91653/7538/2824/654/5803/5063/9365/358/83643/54674/1959/9314/51129/1960/301/650/10826/84935/2690/7704/1620/3084/91584/4804/7122/5168/3202/154/5468/6376/32/443/3400/84913/1215/2353/7049/3872/2662/2047/1908/130497/57678/2247/90865/8626/5764/3815/55273/4311/4915/406937/7148/126393/6422/4023/6663/2277/5021/9370/3952"
"33","GO:1901701","GO:1901701","cellular response to oxygen-containing compound",145,-0.281679939587626,-1.8219258314786,0.00105431278526131,0.00753993385823242,0.00544812348364698,440,"tags=45%, list=33%, signal=34%","8322/80310/56603/3745/57088/4360/54997/4921/2770/151306/111/7538/654/9365/358/1910/3164/2774/5737/158376/301/8644/55022/64805/1511/2690/216/1288/84649/858/1620/5140/4804/154/6649/5468/6376/10580/1215/2353/1958/3779/857/28999/6517/5138/8854/130497/51085/27065/2348/5166/4915/1066/1645/2920/406937/6422/1646/4023/6663/2819/9370/286753/3952"
"32","GO:0055085","GO:0055085","transmembrane transport",120,-0.293755038268389,-1.82923478022617,0.000940927016211945,0.00693933674456309,0.00501415054691892,258,"tags=31%, list=19%, signal=27%","55022/140738/2893/6581/9194/23460/57158/64078/154/152078/10349/6376/10580/9104/3779/857/28999/6517/6366/1908/130497/2247/9058/56301/2564/1756/2719/2348/10350/80704/30819/342667/286133/364/9370/286753/3952"
"28","GO:0014070","GO:0014070","response to organic cyclic compound",104,-0.309028722120772,-1.86599693926776,0.00089146984320268,0.00692328453287183,0.00500255171420712,398,"tags=45%, list=29%, signal=35%","2770/151306/7035/7048/117581/117/111/7538/654/5187/5063/9365/358/1910/2774/5737/4306/301/6586/3205/650/8644/64805/2690/858/5207/32/2353/1958/3779/857/5138/8854/6869/27065/1036/8626/2348/1410/1066/2354/6422/6663/5021/2819/9370/3952"
"29","GO:0051240","GO:0051240","positive regulation of multicellular organismal process",170,-0.270734230780109,-1.78367895960383,0.000887681239600371,0.00692328453287183,0.00500255171420712,215,"tags=26%, list=16%, signal=25%","7704/33/91584/4804/154/5468/6376/32/554/443/3400/3953/338442/1215/2353/1958/857/7049/4881/3872/2047/1908/130497/57678/27190/2247/6869/90865/8626/5764/3815/338328/4311/4915/50486/406937/6288/126393/4023/6663/2277/5021/2167/9370/3952"
"30","GO:2000026","GO:2000026","regulation of multicellular organismal development",196,-0.26419668937223,-1.76472635404358,0.000828773609848725,0.00692328453287183,0.00500255171420712,546,"tags=53%, list=40%, signal=37%","7010/3204/10252/81575/3908/2670/133/3491/79812/4916/5740/91461/222166/3479/3373/5649/947/10810/23768/6387/1634/56603/130733/407019/64321/6886/26051/58494/54997/1901/4921/2246/146433/2152/7048/7538/2824/5997/654/5803/5063/9365/358/163175/2202/54674/9510/1959/9314/51129/1960/3909/158376/301/3205/140862/650/56920/10826/10253/223117/7704/1620/5140/91584/4804/10218/7122/5168/3202/154/5468/6376/32/443/3400/84913/1215/9104/2353/857/7049/4881/3872/2047/130497/2247/90865/8626/5764/3815/55273/4311/4915/406937/126393/6422/6663/2277/5021/221476/5950/9370/3952"
