"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"20","GO:0042127","GO:0042127","regulation of cell population proliferation",148,0.191647136302203,1.54077972694904,0.00694401801807805,0.049649728829258,0.0354510393554511,167,"tags=28%, list=18%, signal=28%","1001/9076/3651/54997/3624/8061/10669/5268/4488/6373/430/51085/6820/2191/11082/8140/2919/4070/2069/6424/563/1311/6997/8744/655/8862/8840/23213/23657/29923/4487/8549/7076/8313/7472/2523/51561/225689/9928/6469/51176/994"
"19","GO:0030154","GO:0030154","cell differentiation",246,0.170562278244009,1.51037545725909,0.00622792132599046,0.0468733026114019,0.0334686076798379,173,"tags=26%, list=19%, signal=29%","1001/94234/2118/9076/25984/144501/3651/54997/3624/4488/57761/84733/4188/255738/1301/430/100170841/6820/6696/6493/85407/10309/8140/6533/4070/51330/7045/9518/2069/6424/81792/8038/9620/1311/6997/7804/8744/1294/655/80758/3218/8840/6781/23213/23657/10529/9456/4487/1303/8549/8313/7472/7516/81544/10913/1295/51561/7004/9928/6469/8507/51176/994/6932/85301"
"18","GO:0048731","GO:0048731","system development",262,0.169388229676446,1.53407881477194,0.004809990437573,0.0382127018096078,0.0272847410786305,174,"tags=27%, list=19%, signal=30%","9076/1116/2906/3651/54997/3624/8061/5268/4488/4188/1300/255738/1301/430/100170841/2191/6712/6696/11082/6493/85407/8140/2919/4070/51330/7045/389058/2069/6424/81792/8038/9620/27286/1311/6997/633/7804/8744/655/80758/8862/3218/25902/8840/6781/23213/23657/10529/7058/4487/8549/7076/8313/7472/4237/7516/81544/10913/2523/1295/51561/7004/64220/9928/6469/8507/51176/6932/85301/9509"
"17","GO:0008283","GO:0008283","cell population proliferation",169,0.191863994916533,1.59095017667235,0.00450926740185178,0.0379308963802826,0.0270835255714936,346,"tags=52%, list=38%, signal=40%","1001/9076/3651/54997/3624/8061/10669/5268/4488/6373/430/51085/6820/2191/11082/8140/2919/4070/7045/2069/6424/563/1311/6997/8744/655/8862/8840/6781/23213/23657/29923/4487/8549/7076/8313/7472/2523/1295/51561/225689/9928/6469/51176/994/29128/6282/6556/374/5328/284403/3299/6713/644943/1602/55388/57181/1029/89958/27085/6662/4609/1909/6659/144455/8519/1594/10622/5629/675/3976/3714/80279/990/83879/595/10630/3673/145864/79801/183/4017/7291/23305/1503/11221/4828/983"
"15","GO:0065008","GO:0065008","regulation of biological quality",245,-0.228927592445304,-1.62471119304067,0.003977363976056,0.0356934449233157,0.0254859341741746,261,"tags=37%, list=29%, signal=36%","3706/6584/57549/4692/2934/55022/10800/51196/5567/6855/1902/9060/4128/489/440712/1646/650/5139/8399/285195/54855/3815/4501/5959/3360/58494/152330/654/5764/6549/64081/9912/5028/2494/6817/7068/1359/58476/10103/5284/5023/771/5125/284076/79154/23495/4502/7851/7122/729230/56477/9314/653/3291/23228/64922/27284/1152/85477/4151/6368/51316/5729/5105/4493/2651/54576/4494/4495/2139/608/57016/1511/1908/84830/123264/3294/10590/10170/54831/3512/126/8671/286133/6338/4499/760/1811/766/388364/1113"
"16","GO:0048519","GO:0048519","negative regulation of biological process",295,0.166213939405662,1.52500166893391,0.0039936721592521,0.0356934449233157,0.0254859341741746,172,"tags=25%, list=19%, signal=30%","1001/94234/57214/4314/1469/23650/3651/54997/3624/85409/8061/10669/5268/8614/4488/57761/84733/4188/6373/255738/430/51085/6820/2191/6712/6696/6493/84962/85407/114822/8140/2919/4070/7045/9518/389058/2069/6424/81792/563/1311/6997/9603/1294/655/80758/8862/7447/3218/8840/6781/23213/23657/79007/7058/1846/6004/4487/84649/7076/8313/124930/7516/9569/79000/51561/220042/225689/9928/6469/8507/51176/41/2564/6932"
"14","GO:0007155","GO:0007155","cell adhesion",113,0.219649314323973,1.68890553532121,0.00321722220814992,0.0328616268403885,0.0234639514428979,166,"tags=30%, list=18%, signal=28%","9075/1001/9076/340706/23650/54997/10669/145741/2191/6696/84962/4070/51330/7045/81792/8038/9620/563/27286/1311/8744/1294/655/8840/23657/7058/1303/1951/2523/1295/51561/9928/6469/51176"
"13","GO:0051239","GO:0051239","regulation of multicellular organismal process",169,0.201096158463401,1.66750394713015,0.00207002193145853,0.0227702412460438,0.0162584718503221,166,"tags=29%, list=18%, signal=29%","1001/2118/1116/2906/54997/3624/8614/4488/255738/430/6820/2191/6696/6319/8140/4070/9518/2069/6424/81792/8038/27286/1311/6997/7804/8744/655/8862/3218/8840/6781/3352/23213/7058/29923/9456/7076/8313/7472/4237/7516/9569/2523/51561/7004/64220/9928/6469/51176"
"12","GO:0007275","GO:0007275","multicellular organism development",295,0.174356845302279,1.59971228061135,0.00107459568396596,0.012805598567261,0.00914348959164017,174,"tags=26%, list=19%, signal=32%","1001/2118/9076/1116/2906/3651/54997/3624/8061/5268/8614/4488/84733/4188/1300/255738/1301/430/100170841/6820/2191/6712/6696/11082/6493/85407/8140/2919/4070/51330/7045/389058/2069/6424/81792/8038/9620/27286/1311/6997/633/7804/8744/1294/655/80758/8862/3218/25902/8840/6781/23213/23657/10529/7058/1846/4487/1303/8549/7076/8313/7472/4237/7516/81544/10913/2523/1295/51561/7004/64220/9928/6469/8507/51176/6932/85301/9509"
"11","GO:0032502","GO:0032502","developmental process",363,0.170802811516434,1.57859797858137,0.000908485382601327,0.0118103099738173,0.00843283082414629,167,"tags=25%, list=18%, signal=34%","1001/94234/2118/9076/25984/144501/1116/768/2906/3651/54997/3624/8061/5268/8614/4488/57761/84733/4188/1300/255738/1301/430/100170841/51085/6820/2191/6712/6696/11082/6493/84962/85407/10309/8140/6533/2919/4070/51330/7045/9518/389058/2069/6424/81792/8038/9620/27286/1311/6997/633/7804/8744/1294/655/80758/8862/3218/25902/8840/6781/23213/23657/10529/7058/1846/9456/4487/1303/256764/84649/8549/1951/7076/8313/7472/4237/7516/81544/10913/2523/1295/51561/7004/64220/9928/6469/8507/51176/994"
