"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"512","GO:0061042","GO:0061042","vascular wound healing","7/1430","22/18903",0.000865291185973975,0.00949792278354246,0.00749124421080676,"CXCR4/GATA2/NDNF/VEGFA/SERPINE1/ALOX5/MCAM",7
"511","GO:0007200","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","18/1430","105/18903",0.000850861097560552,0.00935780698295559,0.0073807314488155,"PTGER3/TACR1/PTH1R/GPR27/CASR/P2RY1/HOMER1/ANO1/C3AR1/LTB4R/GPR65/PLCB2/GNA15/F2RL3/GPR4/FPR1/FPR3/P2RY10",18
"510","GO:0034612","GO:0034612","response to tumor necrosis factor","34/1430","254/18903",0.000826754966441773,0.00911051551255444,0.00718568661235564,"TNFRSF18/TNFRSF4/TNFRSF14/LAPTM5/GBP1/GBP2/VCAM1/AIM2/XCL2/CCL20/NPNT/CRHBP/SFRP1/ASS1/GATA3/BIRC3/CASP1/CARD16/TNFSF13B/ADAMTS7/UMOD/PYCARD/NOL3/CCL5/CCL18/CCL3/CCL4/CD70/PLVAP/HAMP/NLRP2/CD40/BIRC7/EDA2R",34
"509","GO:0060048","GO:0060048","cardiac muscle contraction","22/1430","140/18903",0.000824067456496402,0.00909874087526479,0.00717639966767935,"ATP1A1/NOS1AP/ATP1B1/TNNI1/CXCR4/KCNE4/GPD1L/MYL3/TNNC1/ANK2/DSP/GJA1/CCN2/CAV1/KCNQ1/KCNE3/NOS1/GJC1/KCNJ2/NEDD4L/SCN1B/PPP1R13L",22
"508","GO:0043405","GO:0043405","regulation of MAP kinase activity","27/1430","186/18903",0.000807131302066635,0.0089292872393986,0.00704274743680605,"PTPN22/PTPRC/UCHL1/EGF/FGF1/FGD2/VEGFA/TPD52L1/CAV1/EZH2/SFRP1/ADAM8/PDGFD/P2RX7/FLT1/PIK3R6/PIK3R5/KSR1/ERBB2/CDK5RAP3/CD300A/TGFB1/CBLC/TRIB3/CD40/BMP7/TENM1",27
"507","GO:0007163","GO:0007163","establishment or maintenance of cell polarity","32/1430","234/18903",0.000805341634763797,0.00892706111907799,0.00704099164121322,"CYP26B1/PARD3B/RHOH/RHOBTB3/DOCK2/PKHD1/GJA1/UST/TEK/CRB2/GATA3/MPP7/PDLIM1/DLG2/CD3G/NCKAP1L/PALS1/PLK1/SPN/CCL4/CCR7/LLGL2/FOXJ1/NDC80/MTCL1/ALPK2/MISP/SYNE4/RAC2/SH3BP1/PARVG/OPHN1",32
"506","GO:0044282","GO:0044282","small molecule catabolic process","47/1430","385/18903",0.000779517567839263,0.00865788286809616,0.00682868416511574,"ALDH4A1/ACADM/DBT/PFKFB2/CYP26B1/HK2/IRS1/PCCB/HADH/OXCT1/CDO1/HK3/CYP39A1/BCKDHB/IDO1/GLDC/ALDH1B1/ALDOB/PFKP/HOGA1/ACADSB/MIR210/ACAT1/ENO2/SHMT2/SDS/NOS1/HPD/SCARB1/PCCA/PNP/ARG2/ALDH6A1/SORD/HYKK/ABAT/QPRT/DPEP2/LDHD/DCXR/PLIN5/IL4I1/ADA/INPP5J/APOBEC3C/APOBEC3G/APOBEC3H",47
"505","GO:0043320","GO:0043320","natural killer cell degranulation","5/1430","11/18903",0.000771933727655082,0.00859062881073577,0.00677563924368015,"FCGR3A/HLA-F/CORO1A/UNC13D/NKG7",5
"504","GO:0003208","GO:0003208","cardiac ventricle morphogenesis","14/1430","71/18903",0.000761467748120439,0.00849096973102553,0.00669703568783452,"HEYL/TGFBR3/TNNI1/PROX1/MYL3/TNNC1/NPY5R/FOXC1/DSP/GRHL2/GATA3/DLL4/TGFB1/PPP1R13L",14
"502","GO:0060249","GO:0060249","anatomical structure homeostasis","42/1430","333/18903",0.000756392741498143,0.00846372715840969,0.0066755488039077,"SLC2A1/DISC1/INPP5D/ATP2B2/PTH1R/ILDR1/GATA2/IL20RB/P2RY1/PROM1/LPCAT1/OCLN/HOMER1/LOX/CSF1R/FOXC1/SCGN/VEGFA/GJA1/LAMA2/CCN2/CAV1/CA2/CALB1/SH3GL2/CRB2/CDHR1/ADAM8/LARGE2/LYZ/P2RX7/ESRRB/TYRO3/CTSH/HOMER2/LRRK1/CORO1A/CDH3/PRKCA/TJP3/HAMP/SASH3",42
