"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"67","GO:0080134","GO:0080134","regulation of response to stress",145,0.184136265409504,1.55163935770747,0.0106554119963682,0.041031287986015,0.0294635115689051,407,"tags=39%, list=24%, signal=32%","7130/5169/718/54209/3620/84699/7422/8996/89790/4818/7852/7941/392255/2209/10859/115362/10225/114836/8530/6352/406992/3902/939/7226/7305/912/64581/695/313/3594/7409/240/79626/79444/9770/6688/3135/3134/2213/2305/60401/57817/149628/3965/857/7454/57007/60489/10769/3055/5788/4068/330/3820/51284/84766"
"66","GO:0065008","GO:0065008","regulation of biological quality",401,-0.209501210023067,-1.47583221101573,0.00857775872705628,0.0335312386603109,0.0240779192338422,405,"tags=28%, list=24%, signal=28%","79608/624/51301/2296/9456/51302/3908/58489/6508/5019/286676/9099/2824/10891/64922/26999/100506658/219736/26027/3177/126695/2743/5208/2568/79784/10391/1036/9762/4915/2850/56659/4494/18/2555/112609/2016/55283/476/57402/56670/287/5334/10644/5733/479/27344/80736/5800/389434/85477/8842/79152/170690/286204/1056/404266/5745/64084/63976/83697/6549/8854/5156/55503/9066/23428/2104/5653/554/130733/2901/1634/2066/1001/27134/5731/3291/140469/7021/91851/2625/6456/7780/161291/6550/2642/7134/2160/8431/65266/389015/1393/6337/2103/846/54097/3897/6712/3766/7103/10686/149461/4495/6338/6521/6340/6559/6422/50617/793/3827/359/6557/7369"
"65","GO:0006810","GO:0006810","transport",460,-0.211342571697083,-1.50007241698719,0.00774103412083375,0.0307259508180786,0.0220635142553318,175,"tags=15%, list=10%, signal=18%","56649/83697/6549/6524/55040/55503/9066/6565/3306/245973/23428/554/2352/2901/2066/1001/7345/113278/7809/255189/7021/2625/6456/53405/7780/161291/6550/146802/2642/2254/1272/7134/8431/92737/65266/202151/2719/148808/389015/1393/6337/9058/846/54097/115111/127124/6712/3766/10686/149461/57111/150696/7113/1950/6338/6521/6340/1187/6559/6422/5104/50617/1188/53828/3758/359/6557/7369"
"64","GO:0042127","GO:0042127","regulation of cell population proliferation",228,0.158306005977231,1.47295539285996,0.00680766002580978,0.0274433794790457,0.0197063842852389,444,"tags=38%, list=27%, signal=32%","2173/970/2172/5169/3299/29923/54209/112399/3620/8744/3687/1029/3486/11082/5228/2214/140/7422/11148/4283/6373/864/11006/10669/5744/10859/7293/11314/916/6352/7535/133/406932/3627/64926/54440/923/7305/10673/912/11151/64581/695/283234/55423/3071/3594/10288/3718/942/240/3142/79444/145864/3135/639/259307/2213/5880/2305/7940/57413/1869/6693/8862/4145/3965/857/944/57007/10178/54567/3055/890/5788/10148/3059/3115/1749/7076/553/120425/1725/84433/4332/51316/3162"
"63","GO:0016192","GO:0016192","vesicle-mediated transport",165,0.183153308911673,1.55450338752713,0.00543792446629058,0.0222695954333805,0.0159912231590166,501,"tags=46%, list=30%, signal=36%","341/718/54209/8448/949/2214/3560/7422/4818/11006/2209/4017/8832/10859/11314/6352/146722/133/64005/717/3683/9051/7805/923/1794/7305/921/11151/64581/374403/3689/695/26762/55423/3071/30846/2207/6614/122618/7409/50619/5027/6688/7462/5341/84106/3134/2213/5028/5880/3587/8862/3965/857/7454/63910/57007/6616/4481/3055/5788/284021/338382/201294/30817/3684/3162/720/3676/8527/55911/27253/51411/23149/4689/858"
"62","GO:0051234","GO:0051234","establishment of localization",473,-0.211567748548479,-1.50545821027352,0.00519234977951775,0.021606874888961,0.0155153405975403,175,"tags=15%, list=10%, signal=18%","56649/83697/6549/6524/55040/55503/9066/6565/3306/245973/23428/126353/554/2352/2901/2066/1001/7345/113278/7809/255189/7021/2625/6456/53405/7780/161291/6550/146802/2642/2254/1272/7134/8431/4118/92737/65266/202151/2719/148808/389015/1393/6337/9058/846/54097/115111/127124/6712/3766/10686/149461/57111/150696/7113/1950/6338/6521/6340/1187/6559/6422/5104/50617/1188/53828/3758/359/6557/7369"
"61","GO:0098609","GO:0098609","cell-cell adhesion",161,0.191977408759899,1.65279554169184,0.00480027387837408,0.0203027977150904,0.0145789163519213,471,"tags=45%, list=28%, signal=36%","970/3620/8744/3687/7422/11148/914/864/11006/8832/10859/11314/916/6352/7535/1002/64926/3120/3902/54440/3683/7805/923/939/921/10673/912/11151/3689/1475/283234/55423/3071/3594/6614/10288/3718/942/7409/240/3142/79626/6688/3135/6404/5341/259307/2213/92211/5880/3119/6693/3965/857/10178/10563/5788/10148/83706/201633/1004/284021/3115/120425/1725/84433/3117/3684/3678/3676/945/27253/101"
"60","GO:0042592","GO:0042592","homeostatic process",210,-0.24861802423375,-1.6372162000755,0.00368739293536422,0.0158557896220661,0.0113856343267386,308,"tags=25%, list=18%, signal=23%","2850/4494/18/112609/2016/55283/476/57402/56670/287/5334/5733/479/8842/79152/286204/5745/63976/83697/6549/55503/23428/2104/554/130733/2901/1001/27134/7021/2625/6456/7780/6550/2642/65266/389015/6337/2103/846/54097/3766/10686/4495/6338/6521/6340/6559/50617/793/359/6557/7369"
"59","GO:0009790","GO:0009790","embryo development",107,-0.3116105100191,-1.86779459311398,0.00218237474181181,0.00954326582012623,0.00685277349792826,619,"tags=56%, list=37%, signal=38%","80144/57216/1740/5087/525/2624/10361/84871/56603/151449/3204/9394/6926/23767/3234/3215/341640/57669/26227/3216/6768/9915/2139/3784/10566/58495/2296/3908/57619/219736/126695/3218/196051/2016/80736/5629/3975/286204/655/5745/79977/8854/27330/5156/7020/79192/347733/2066/140469/6943/7490/91851/2625/6493/153572/2254/3219/2719/10655/6422"
"58","GO:0008283","GO:0008283","cell population proliferation",253,0.169922159551098,1.59672898431916,0.00212245791168814,0.00944127829681967,0.00677953888306921,444,"tags=39%, list=27%, signal=34%","2173/970/2172/5169/3299/29923/54209/112399/3620/949/8744/3687/1029/3486/11082/5228/2214/140/7422/11148/4283/6373/864/11006/4017/10669/5744/10859/7293/163175/11314/916/6352/7535/133/406932/3627/64926/54440/7045/923/1794/7305/10673/912/11151/64581/695/283234/55423/3071/3594/10288/9047/3718/942/240/11184/3142/79444/145864/5027/3135/639/259307/2213/5880/2305/202309/80279/7940/57413/1869/6693/8862/9212/4145/3965/857/944/57007/10178/54567/3055/890/5788/10148/3059/3115/1749/7076/553/1295/120425/1725/84433/4332/51316/3162"
"57","GO:0032101","GO:0032101","regulation of response to external stimulus",143,0.201779027157611,1.70623169030292,0.00189763342149934,0.00858928811836542,0.00616774667006248,401,"tags=38%, list=24%, signal=31%","6531/7130/5169/718/54209/3620/54437/5228/84699/7422/89790/285/4818/7852/7941/2209/10859/115362/10225/114836/8530/6352/3627/9450/3902/7305/912/64581/695/313/3071/3594/7409/240/79626/6688/3135/6351/3134/2213/5880/57817/149628/3965/857/60489/10769/10563/3055/5788/4068/330/3820/51284"
"56","GO:0098655","GO:0098655","cation transmembrane transport",122,-0.306210804554959,-1.87912569331359,0.00174734919552824,0.00805028736511227,0.00578070410550697,171,"tags=26%, list=10%, signal=25%","55283/476/287/479/152519/80736/1804/83697/6549/6524/55503/6565/3306/245973/23428/7780/6550/146802/65266/389015/1393/6337/127124/3766/10686/6338/6340/6559/50617/53828/3758/6557"
"55","GO:0030001","GO:0030001","metal ion transport",121,-0.30538612205099,-1.87273499428448,0.00140042557666554,0.00656926906872199,0.00471722299508392,171,"tags=20%, list=10%, signal=19%","83697/6549/6524/55503/3306/7780/6550/1272/65266/389015/6337/9058/846/3766/10686/1950/6338/6340/6559/1188/53828/3758/6557/7369"
"54","GO:0007155","GO:0007155","cell adhesion",260,0.173567896578553,1.57887966978737,0.00114005964402171,0.00544695163254817,0.00391131573777429,473,"tags=42%, list=28%, signal=36%","7130/970/3620/8744/3687/1029/50509/7450/7422/11148/89790/285/914/7852/864/11006/4017/10669/8832/10859/10225/11314/916/6352/7535/1002/64098/64005/1404/3910/57823/64926/3120/54518/3902/2833/54440/3683/9051/7805/27181/7045/923/1441/939/921/10673/912/176/11151/3689/1475/283234/55423/3071/3594/27180/6614/10288/3718/942/7409/971/240/3142/79626/145864/6688/3135/6404/6351/5341/259307/2213/92211/5880/3119/6693/3965/857/57007/1462/9473/10178/9235/10563/3055/5788/10148/83706/201633/1004/4162/284021/3115/201294/1295/30817/120425/1725/84433/3117/3684/3678/3676/1292/945/27253/101/27036"
"53","GO:0098662","GO:0098662","inorganic cation transmembrane transport",108,-0.318757889159152,-1.91874301047019,0.00107578309545961,0.00523683091752034,0.00376043346178531,171,"tags=21%, list=10%, signal=20%","83697/6549/6524/55503/6565/3306/245973/7780/6550/146802/65266/389015/6337/127124/3766/10686/6338/6340/6559/50617/53828/3758/6557"
"52","GO:0019725","GO:0019725","cellular homeostasis",101,-0.33150095664443,-1.97644036024943,0.000831020284902323,0.00412313910586152,0.0029607200433767,178,"tags=22%, list=11%, signal=21%","5745/83697/6549/130733/2901/7021/7780/6550/65266/389015/6337/846/10686/4495/6338/6521/6340/6559/50617/793/6557/7369"
"50","GO:0009888","GO:0009888","tissue development",231,-0.267905134527137,-1.79678593011244,0.000592594332864999,0.00299783015449352,0.00215266465602146,229,"tags=23%, list=14%, signal=23%","80736/384/5800/5629/163183/85477/3975/2947/8842/79152/170690/286204/655/5745/79977/8854/27330/5650/5156/7020/6492/79192/2066/1001/658/27134/6943/7021/7490/2625/3855/54845/26298/153572/2254/7134/2246/92737/65266/202151/2719/389015/4070/4745/10655/846/29842/57111/1950/7827/6422/793/7369"
"51","GO:0051240","GO:0051240","positive regulation of multicellular organismal process",211,0.182302283084717,1.67995506709839,0.000586401140693271,0.00299783015449352,0.00215266465602146,455,"tags=39%, list=27%, signal=33%","6531/51129/29923/718/54209/3620/3625/8744/3099/3687/5228/2214/6319/7422/11148/285/914/7852/864/11006/392255/4017/8832/10859/115362/3274/114836/916/8530/7535/1002/10538/133/406992/54440/7805/923/939/64641/7305/64581/695/283234/8819/3071/3594/2207/10288/942/240/3142/5027/3135/3134/259307/5028/150372/57817/1869/6693/8862/3702/149628/5452/3965/857/2124/5788/10148/3059/201633/51284/338382/3115/51393/553/719/84433/4332/51316/3162/3678/3603"
"49","GO:0030155","GO:0030155","regulation of cell adhesion",145,0.219829374249661,1.85241026968484,0.000564599546892261,0.00297278945098374,0.00213468357149383,452,"tags=44%, list=27%, signal=35%","970/3620/8744/1029/7422/11148/285/7852/864/11006/10859/11314/916/6352/7535/3910/64926/3120/54518/3902/2833/54440/7805/7045/923/939/921/10673/912/11151/3689/283234/55423/3071/3594/10288/3718/942/7409/240/3142/79626/6688/3135/259307/2213/5880/3119/6693/3965/857/10563/5788/10148/83706/201633/3115/201294/1295/1725/84433/3117/3678/3676"
"47","GO:0006812","GO:0006812","cation transport",161,-0.304519575290318,-1.94036084923523,0.000425093789495948,0.00231833925803568,0.00166473973649237,171,"tags=20%, list=10%, signal=20%","83697/6549/6524/55503/9066/6565/3306/245973/23428/7780/6550/146802/1272/65266/389015/1393/6337/9058/846/127124/3766/10686/1950/6338/6340/6559/50617/1188/53828/3758/6557/7369"
"48","GO:1902533","GO:1902533","positive regulation of intracellular signal transduction",130,0.219501398875073,1.78872800068836,0.000431318931727568,0.00231833925803568,0.00166473973649237,787,"tags=71%, list=47%, signal=41%","54209/3486/7450/7422/23551/392255/23533/916/6362/6352/7535/1464/7805/939/221472/64581/6364/3071/942/11184/79444/9770/5027/6688/6351/2213/5028/10403/80279/60401/9212/149628/3965/857/112464/57007/10178/10769/9002/5788/3059/330/51284/84766/553/84433/3162/653361/388325/101/3956/858/2697/8477/100/834/2828/22871/6846/958/50937/1236/115727/4609/1880/114769/920/2321/10783/2146/26191/23162/11156/29108/27334/64170/4803/8638/80310/121260/79705/27113/1436/8844/558/406913/50852/6348/84868/10870/146850/7097"
"46","GO:0048878","GO:0048878","chemical homeostasis",139,-0.310599444077926,-1.93101926375067,0.00036794679467256,0.00206370158751132,0.00148189098083228,178,"tags=21%, list=11%, signal=20%","5745/83697/6549/55503/23428/554/130733/2901/7021/7780/6550/2642/65266/389015/6337/846/54097/3766/10686/4495/6338/6521/6340/6559/50617/793/359/6557/7369"
"45","GO:0048583","GO:0048583","regulation of response to stimulus",466,0.152241578856812,1.55360239069118,0.000278293945420684,0.00159555195374525,0.00114572478114714,379,"tags=31%, list=23%, signal=33%","6531/7130/4885/5169/718/54209/3620/54437/3625/3486/11082/5228/2214/84699/81831/7450/4015/7422/8996/11148/89790/285/4818/23551/7852/5996/11006/7941/925/392255/2209/915/8832/23533/10859/115362/10225/11314/114836/916/8530/6362/919/6352/7535/58504/146722/10538/133/406932/64005/5046/3627/64926/717/1464/9450/713/406992/714/3902/926/54440/7805/147138/917/939/221472/2359/7226/1794/7305/10673/912/64581/374403/962/3689/695/313/6364/64333/8819/3071/26470/3594/712/2207/10288/3718/942/7409/240/50619/11184/3142/79626/79444/9770/5027/6688/7462/3135/89857/6351/5341/81620/84106/3134/259307/2213/5028/5880/3937/3587/3119/2305/10403/80279/54541/150372/60401/57817/6693/8862/9212/3702/117289/149628/3965/857/257106/7454/112464/57007/60489/8490/9473/10178/10769/54567/10563/3055/9002/5788"
