"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"301","GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","9/1066","43/18903",0.000552698028201531,0.00989531453148854,0.00802905266357461,"CENPA/TTK/MTBP/CDK1/KNTC1/BUB1B/CDT1/AURKB/NDC80",9
"300","GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","20/1066","157/18903",0.000542493945676562,0.0097449995775033,0.00790708719417697,"ADGRL2/S1PR1/RAPGEF4/CALCRL/RAMP1/PTH1R/RXFP1/PTGER4/ADRB2/ADGRF5/ADGRF1/RAMP3/ADRB1/ADGRD1/ADCY4/RAMP2/S1PR4/ADGRE1/ADGRE3/ADM2",20
"298","GO:0031099","GO:0031099","regeneration","23/1066","192/18903",0.000527167621247853,0.00950890388176939,0.00771551927901281,"TGFBR3/TMEM182/WNT7A/TGFBR2/ANXA3/SPP1/CCNA2/EZH2/SPAAR/KLF4/CDK1/MYOZ1/MDK/RTN4RL2/FOLR1/THY1/CPB2/GAS6/SLC7A5/RTN4RL1/SGCA/ACE/AURKA",23
"299","GO:2000146","GO:2000146","negative regulation of cell motility","38/1066","383/18903",0.000527586242465958,0.00950890388176939,0.00771551927901281,"TIE1/COL3A1/PPARG/PHLDB2/SLIT2/LIMCH1/FGF2/PTGER4/DUSP1/NEDD9/ADTRP/IGFBP3/CLDN3/DLC1/SULF1/IL33/RECK/KLF4/ENG/PRKG1/MMRN2/THY1/ACVRL1/TBX5/STARD13/RGCC/DACH1/GREM1/FRMD5/NDRG4/ATP1B2/MMP28/PTPRM/ANGPT4/ADARB1/CLDN5/TIMP1/PLXNB3",38
"297","GO:0003151","GO:0003151","outflow tract morphogenesis","13/1066","80/18903",0.000503805307739148,0.00914143704850595,0.00741735689650335,"TGFBR3/GJA5/TGFBR2/ROBO2/SOX17/ENG/FGFR2/FOLR1/TBX3/SIX1/TBX2/GATA6/CLDN5",13
"294","GO:0036302","GO:0036302","atrioventricular canal development","5/1066","13/18903",0.000496832576468435,0.00904537417090675,0.00733941153147183,"ENG/TBX3/TBX2/GATA6/BMP2",5
"295","GO:1900262","GO:1900262","regulation of DNA-directed DNA polymerase activity","5/1066","13/18903",0.000496832576468435,0.00904537417090675,0.00733941153147183,"RFC4/DSCC1/CHTF18/GINS2/GINS1",5
"296","GO:1900264","GO:1900264","positive regulation of DNA-directed DNA polymerase activity","5/1066","13/18903",0.000496832576468435,0.00904537417090675,0.00733941153147183,"RFC4/DSCC1/CHTF18/GINS2/GINS1",5
"293","GO:0110110","GO:0110110","positive regulation of animal organ morphogenesis","8/1066","34/18903",0.00048574184949008,0.00893400282219127,0.00724904488155844,"CD34/WNT3A/ROBO2/FGF2/SIX1/SIX4/MESP1/BMP2",8
"291","GO:0048762","GO:0048762","mesenchymal cell differentiation","28/1066","252/18903",0.000482640490584736,0.00891685860897333,0.00723513407656439,"TGFBR3/S100A4/TGFBR2/SEMA3B/SEMA3G/PHLDB2/SEMA5A/FOXF2/NOTCH4/TCF21/RADIL/EZH2/GLIPR2/ENG/FGFR2/MDK/FOLR1/TBX5/TBX3/RGCC/EDNRB/SIX1/GREM1/SEMA4B/EMP2/TMEM100/BMP2/FAM83D",28
"292","GO:0030336","GO:0030336","negative regulation of cell migration","37/1066","368/18903",0.000483155077717612,0.00891685860897333,0.00723513407656439,"TIE1/COL3A1/PPARG/PHLDB2/SLIT2/LIMCH1/FGF2/PTGER4/DUSP1/NEDD9/ADTRP/IGFBP3/CLDN3/DLC1/SULF1/IL33/RECK/KLF4/ENG/PRKG1/MMRN2/THY1/ACVRL1/TBX5/STARD13/RGCC/DACH1/GREM1/NDRG4/ATP1B2/MMP28/PTPRM/ANGPT4/ADARB1/CLDN5/TIMP1/PLXNB3",37
"289","GO:0061008","GO:0061008","hepaticobiliary system development","19/1066","144/18903",0.000475934706585148,0.00885295739731884,0.00718328466925071,"PCSK9/TGFBR3/WNT3A/LIMS2/EZH2/FGL1/SOX17/CDKN2B/E2F8/MDK/CADM1/TBX3/CPB2/MESP1/SLC7A5/CDK5RAP3/GATA6/CEACAM1/AURKA",19
"290","GO:0048705","GO:0048705","skeletal system morphogenesis","26/1066","227/18903",0.000476407059792626,0.00885295739731884,0.00718328466925071,"ALPL/FGR/COL11A1/TBX15/COL3A1/WNT7A/TGFBR2/CSRNP1/HYAL1/HHIP/GHR/TFAP2A/RUNX2/CCN2/HOXA5/ZEB1/FGFR2/MMP13/BARX2/SOX5/SIX1/SIX4/GREM1/TBX4/ACP5/COMP",26
"288","GO:0071695","GO:0071695","anatomical structure maturation","28/1066","250/18903",0.000424481963189684,0.00794282395704586,0.00644480290603051,"C1QA/S1PR1/KIF14/EPAS1/PPARG/PTH1R/GATA2/SPINK1/RUNX2/HOXA5/RECK/PAEP/LRRK2/ACVRL1/NTN4/EDNRB/GREM1/GLDN/CDH5/CDH3/CDK5R1/RAC3/CABYR/KLF2/LGI4/FERMT1/BMP2/AURKA",28
"286","GO:0052547","GO:0052547","regulation of peptidase activity","44/1066","459/18903",0.000420532420756716,0.00791725747158025,0.00642405827405619,"EFNA3/AIM2/WNT3A/XDH/NLRC4/COL4A3/PPARG/COL7A1/PROS1/PCOLCE2/LAMP3/SNCA/SPINK1/PTTG1/AGER/CCN2/AQP1/CLDN3/CAV1/SOX7/DLC1/SLC1A1/RECK/KLF4/ITIH5/ANXA8L1/VSIR/SPOCK2/CRYAB/GAPDH/A2M/GAS6/EGLN3/MEFV/WFDC1/CPAMD8/CST2/WFDC2/WFDC3/MMP9/TIMP3/ANOS1/TIMP1/GPC3",44
"287","GO:0050729","GO:0050729","positive regulation of inflammatory response","20/1066","154/18903",0.000421646482528026,0.00791725747158025,0.00642405827405619,"CAMK2N1/AIM2/NLRC4/AGTR1/SNCA/PTGER4/ZP3/LPL/FABP4/CCN4/IL33/TLR4/ADAM8/MDK/LRRK2/IL23A/ALOX5AP/C2CD4A/ACE/LILRA5",20
"285","GO:0061098","GO:0061098","positive regulation of protein tyrosine kinase activity","11/1066","59/18903",0.000401551537305269,0.00759284643697577,0.00616083134244169,"WNT3A/ALKAL2/HBEGF/NEDD9/GAS6/GREM1/SRCIN1/ACE/LILRA5/CASS4/PDGFB",11
"283","GO:0035107","GO:0035107","appendage morphogenesis","19/1066","142/18903",0.000398386003067441,0.00755951468496633,0.00613378597754688,"CRABP2/PKDCC/AFF3/COL3A1/WNT7A/FRAS1/PITX1/TFAP2A/SOX4/RUNX2/RSPO2/RECK/FGFR2/TBX5/TBX3/GREM1/TBX2/TBX4/GPC3",19
"284","GO:0035108","GO:0035108","limb morphogenesis","19/1066","142/18903",0.000398386003067441,0.00755951468496633,0.00613378597754688,"CRABP2/PKDCC/AFF3/COL3A1/WNT7A/FRAS1/PITX1/TFAP2A/SOX4/RUNX2/RSPO2/RECK/FGFR2/TBX5/TBX3/GREM1/TBX2/TBX4/GPC3",19
