"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"47","GO:0016043","GO:0016043","cellular component organization",452,0.12278008647983,1.39544488953537,0.0111402456290049,0.0457461150297437,0.0316867008932504,224,"tags=23%, list=18%, signal=30%","1382/1300/6696/4321/2706/4751/7153/991/83540/9787/11004/55355/26585/57549/9212/990/1063/1058/10615/9133/5347/3149/3783/4288/24137/55612/9088/6513/29128/10403/55143/1311/9066/113130/1301/9837/171177/6676/4192/891/84057/1308/9401/6495/7272/51659/701/7083/343578/3833/81620/1281/898/3706/7058/51280/147841/146909/9768/11130/25791/6712/3832/9156/64151/6804/6790/1111/284656/7498/2146/26499/55723/144501/10309/89958/5365/150696/6491/221150/9493/51804/259266/23397/23213/8437/116028/4322/349667/4085/983/83715/5888/4318/57405/3070/26576/55765/995/3171/50943/1945/4326/1029"
"46","GO:0009887","GO:0009887","animal organ morphogenesis",113,-0.228433499584479,-1.66803786487506,0.0104066794792476,0.0436628073803213,0.0302436680518179,336,"tags=40%, list=27%, signal=32%","2627/2263/2247/57493/6926/2690/8516/3400/9496/6092/64651/255743/6505/54959/9510/65009/10395/64321/140706/94/9353/59350/2294/2013/3373/1901/340419/120892/55679/358/7122/6586/2719/7049/7476/5950/7010/89780/6943/7134/2273/857/64399/55273/1361"
"43","GO:0032879","GO:0032879","regulation of localization",161,-0.21797455809601,-1.71913284719253,0.00937893599545044,0.0408919246347664,0.0283243764854941,326,"tags=37%, list=27%, signal=31%","2171/3953/2247/79026/3762/1012/338442/627/5175/168667/1410/4481/2824/10391/9022/6505/84830/65009/6769/284654/21/284/2294/6457/338557/6332/185/120892/358/5593/1066/10326/28984/4023/2719/255738/4881/7476/10268/154/5923/3777/5950/6441/9254/89780/1910/4248/7134/5319/2273/857/29091/56729/53405/8547/1361/203190/51208"
"44","GO:0023056","GO:0023056","positive regulation of signaling",152,-0.215153651591892,-1.67616156829975,0.00936711533636097,0.0408919246347664,0.0283243764854941,389,"tags=44%, list=32%, signal=34%","115727/51473/2268/4900/353514/151306/8406/152007/7078/2627/2263/6403/2171/2247/7450/57608/1012/2690/338442/627/8516/6092/2977/168667/255743/6505/65009/27123/284654/1839/94/858/284/1003/6368/338557/2013/340419/120892/55679/9365/343637/2719/7049/4881/2264/7476/10268/9037/154/5923/5950/57864/80274/147372/27255/7010/285016/4311/89780/8685/5319/2662/857/56729/219790/177"
"45","GO:0051240","GO:0051240","positive regulation of multicellular organismal process",165,-0.208910621192667,-1.67270685738051,0.009534386572873,0.0408919246347664,0.0283243764854941,383,"tags=42%, list=31%, signal=33%","2268/10810/23767/11076/7075/353514/306/249/152007/342527/2627/2263/2171/3953/2247/57493/57608/2690/338442/627/3400/6693/6092/168667/2824/255743/6505/443/9314/79413/90865/7056/94/9353/2034/1003/338557/2013/3373/120892/745/10266/358/9365/28984/4023/7049/4881/126393/7476/9037/154/54674/147372/7010/181/4311/89780/153/1910/33/5319/857/56729/338328/2277/1361/2167/177"
"42","GO:0006810","GO:0006810","transport",273,-0.183807024441076,-1.59068821679536,0.00887895256088215,0.0408009010535775,0.028261327700051,320,"tags=33%, list=26%, signal=31%","3953/2247/375033/84239/162515/79026/3762/22918/6926/1012/2690/338442/79856/5175/10316/1410/4481/2824/84701/9022/6505/84830/65009/6769/90527/284654/51554/858/21/4360/64116/284/4973/2294/6457/338557/2013/6332/185/10203/120892/6563/10266/358/5593/200010/1066/10326/28984/8676/2719/255738/1036/4881/728113/7476/10268/154/5923/3777/8825/5950/2890/57864/10894/6441/9254/255189/89780/80704/8685/361/1910/7134/5319/2273/653509/857/29091/56729/11095/53405/338328/8547/1361/2823/2167/203190/177"
"39","GO:0030334","GO:0030334","regulation of cell migration",120,-0.230782134270398,-1.71148784898714,0.00773691300324709,0.0364201026738217,0.0252269050426799,568,"tags=62%, list=46%, signal=37%","9732/7048/5581/91663/8322/51378/22998/2621/90102/104/23328/2624/2159/22854/57381/482/1636/4739/154810/728/1843/57091/650/79812/90627/2268/7075/306/152007/23604/6403/7869/2247/57608/1012/5175/6693/168667/9314/84830/9510/79148/65009/10395/90865/58494/1839/84913/94/9353/221692/9079/284/1003/2294/2013/3373/1901/54538/358/56920/7122/1602/28984/7476/9037/10894/147372/7010/285313/4248/857/2277/177"
"40","GO:0010647","GO:0010647","positive regulation of cell communication",153,-0.212659670349903,-1.6573469093523,0.00758425486459122,0.0364201026738217,0.0252269050426799,389,"tags=44%, list=32%, signal=34%","115727/51473/2268/4900/353514/151306/8406/152007/7078/2627/2263/6403/2171/2247/7450/57608/1012/2690/338442/627/8516/6092/2977/168667/255743/6505/65009/27123/284654/1839/94/858/284/1003/6368/338557/2013/340419/120892/55679/9365/343637/2719/7049/4881/2264/7476/10268/9037/154/5923/5950/57864/80274/147372/27255/7010/285016/4311/89780/8685/5319/2662/857/56729/219790/177"
"41","GO:0007165","GO:0007165","signal transduction",451,-0.168462062601918,-1.55376426609636,0.00739982276904943,0.0364201026738217,0.0252269050426799,394,"tags=38%, list=32%, signal=41%","53358/79812/90627/115727/55022/51473/58475/2268/26153/23767/4900/2791/7075/353514/151306/1285/92162/8406/152007/9754/2078/8425/79625/440073/126014/84106/5745/7078/2627/58529/23604/10044/2263/6403/2171/80243/7869/3953/2247/160364/375033/57493/57514/7450/8839/51267/2206/57608/1012/2690/338442/627/5175/8516/387758/161198/6693/11248/6092/10316/2977/64651/80014/168667/152273/1410/255743/84952/9022/6505/55698/9314/84830/54922/9510/65009/10395/2532/27123/6769/90865/284654/64321/51554/1839/84913/94/22899/395/9353/84658/858/79987/2034/284/1675/59350/158376/1003/6368/8395/2294/6457/91851/338557/2869/2013/185/9068/1901/340419/10203/120892/342035/55679/10266/2015/358/5593/6258/56920/7122/9365/10326/6586/343637/4023/2719/255738/83595/151126/7049/4881/2264/7476/10268/9037/154/5923/79674/7433/6751/2890/53905/57864/80274/147372/27255/7010/285016/181/100820829/89780/8685/153/6943/1910/153579/5319/2662/857/56729/64399/219790/2277/55273/219995/8547/11197/51208/177"
"38","GO:0048870","GO:0048870","cell motility",180,-0.206947281418435,-1.67990260518586,0.00658770992698506,0.033458631997582,0.0231756000201413,657,"tags=69%, list=53%, signal=38%","6910/2022/6688/8434/5468/2348/64115/947/91624/9839/1490/25959/5797/3202/7099/5734/5592/1441/59277/9732/7048/5581/91663/79834/8322/120425/51378/9034/22998/2621/90102/104/5588/5028/23328/2624/2159/22854/240/57381/482/1636/4739/154810/728/1843/57091/650/266727/79812/90627/51473/10319/2268/23767/7075/306/152007/79625/284119/23604/6403/7869/2247/7145/57608/1012/5175/161198/6693/80014/168667/55698/9314/84830/9510/79148/65009/10395/90865/64321/51554/58494/1839/84913/94/9353/5787/221692/9079/284/1003/6368/2294/2013/3373/185/1901/120892/54538/358/56920/7122/1602/28984/2719/7049/2264/7476/9037/53905/10894/147372/6441/7010/285313/9806/1910/4248/5319/857/2277/2823/177"
"37","GO:0051094","GO:0051094","positive regulation of developmental process",136,-0.229408735133804,-1.74890873976968,0.00546002688490958,0.0284806807780419,0.0197275509070702,296,"tags=36%, list=24%, signal=31%","57608/2690/627/3400/6092/168667/4481/2824/255743/443/9314/79413/90527/90865/64321/84913/94/9353/1003/6457/338557/2013/3373/185/55679/6886/10266/358/7122/9365/28984/4023/7049/126393/7476/9037/154/54674/147372/7148/7010/4311/89780/2662/56729/2277/55273/11197/177"
