"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"44","GO:2001251","GO:2001251","negative regulation of chromosome organization","3/30","97/18903",0.000480914028075569,0.00984780771127471,0.0068225363313113,"BUB1/TRIP13/BIRC5",3
"43","GO:0045786","GO:0045786","negative regulation of cell cycle","5/30","405/18903",0.000403490960888416,0.00845454315722008,0.00585728616418191,"BUB1/FAM107A/TRIP13/BIRC5/CDC45",5
"42","GO:0061952","GO:0061952","midbody abscission","2/30","18/18903",0.000366699713787866,0.00786658195530636,0.00544994812722317,"KIF20A/CEP55",2
"41","GO:0007096","GO:0007096","regulation of exit from mitosis","2/30","17/18903",0.000326277126025649,0.00717013879388073,0.00496745406247009,"ANLN/UBE2C",2
"40","GO:0000070","GO:0000070","mitotic sister chromatid segregation","4/30","204/18903",0.00028966656111439,0.00652473928910164,0.00452032291423246,"BUB1/TRIP13/BIRC5/UBE2C",4
"39","GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","4/30","194/18903",0.000239164927475616,0.0055253230680905,0.00382792987835466,"BUB1/FAM107A/TRIP13/BIRC5",4
"38","GO:0090307","GO:0090307","mitotic spindle assembly","3/30","74/18903",0.000216705169678594,0.00513819362843192,0.00355972757948493,"BIRC5/TPX2/MYBL2",3
"36","GO:0000075","GO:0000075","cell cycle checkpoint signaling","4/30","186/18903",0.000203601477105139,0.00506076958378299,0.00350608839673265,"BUB1/TRIP13/BIRC5/CDC45",4
"37","GO:0000910","GO:0000910","cytokinesis","4/30","187/18903",0.000207822946281877,0.00506076958378299,0.00350608839673265,"KIF20A/ANLN/CEP55/BIRC5",4
"34","GO:0010948","GO:0010948","negative regulation of cell cycle process","5/30","318/18903",0.000131700598992576,0.003457898195763,0.00239562314397741,"BUB1/FAM107A/TRIP13/BIRC5/CDC45",5
"35","GO:0051784","GO:0051784","negative regulation of nuclear division","3/30","63/18903",0.00013432456920278,0.003457898195763,0.00239562314397741,"BUB1/TRIP13/BIRC5",3
"32","GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","3/30","56/18903",9.44694397206267e-05,0.00257930197540257,0.0017869338996597,"BUB1/TRIP13/BIRC5",3
"33","GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","3/30","56/18903",9.44694397206267e-05,0.00257930197540257,0.0017869338996597,"BUB1/TRIP13/BIRC5",3
"30","GO:0051985","GO:0051985","negative regulation of chromosome segregation","3/30","53/18903",8.00923093752523e-05,0.00232784421764846,0.0016127245996443,"BUB1/TRIP13/BIRC5",3
"31","GO:1905819","GO:1905819","negative regulation of chromosome separation","3/30","53/18903",8.00923093752523e-05,0.00232784421764846,0.0016127245996443,"BUB1/TRIP13/BIRC5",3
"18","GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","3/30","46/18903",5.2290034546576e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5",3
