TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000280"	"nuclear division"	-7.47493628318314	4.8550525079096	0.237469183663624	0.904492495387239	0.44153133	null
"GO:0051306"	"mitotic sister chromatid separation"	51306	-6.03159267973233	2.97173959088778	0.00310339219665958	0.862352863841606	0.71336348	280
"GO:0140014"	"mitotic nuclear division"	140014	-8.24188903149569	4.63463846325227	0.142951660853609	0.839205188967745	0.93031919	280
"GO:0140694"	"non-membrane-bounded organelle assembly"	140694	-2.41328258070709	5.10264634127938	0.419955939125105	0.904266109433087	0.55124839	280
"GO:0001503"	"ossification"	-2.566162024104	4.18301346308193	0.050529590894329	0.782551313152203	0.48045603	null
"GO:0001666"	"response to hypoxia"	-2.42454955781426	4.03770531313554	0.03615982403501	0.967702694474994	0.39029286	null
"GO:0036293"	"response to decreased oxygen levels"	36293	-2.67764450014401	4.04983800062258	0.0371843413307021	0.969978293896785	0.98787047	1666
"GO:0070482"	"response to oxygen levels"	70482	-2.60195710940932	4.08407556777867	0.0402346840881025	0.971529606415669	0.65234922	1666
"GO:0001667"	"ameboidal-type cell migration"	-5.14346841961076	4.12241249541128	0.0439481448362422	0.968240914293487	0.00693659	null
"GO:0010631"	"epithelial cell migration"	10631	-4.02434531593088	3.78816837114117	0.0203544067257405	0.76598451933169	0.74643877	1667
"GO:0014812"	"muscle cell migration"	14812	-1.8214260295257	3.30081279411812	0.00662454872748486	0.971128517940808	0.69815119	1667
"GO:0043542"	"endothelial cell migration"	43542	-3.40036458964244	3.56276854301652	0.012111850100852	0.772248245024013	0.96733704	1667
"GO:0045123"	"cellular extravasation"	45123	-1.88876789212772	3.1832698436828	0.0050529590894329	0.971504982978385	0.6874228	1667
"GO:0050900"	"leukocyte migration"	50900	-1.99396992367039	4.08724886779566	0.0405297715939815	0.968374032973943	0.77951954	1667
"GO:0060326"	"cell chemotaxis"	60326	-2.47090257320323	4.37164038383788	0.0780158316104699	0.937044998307514	0.81381286	1667
"GO:0090132"	"epithelium migration"	90132	-3.9503065466322	3.7989267385772	0.0208650075786097	0.787877785566636	0.99135974	1667
"GO:0001709"	"cell fate determination"	-1.95240289175683	3.48911436937892	0.0102219638272452	0.784818734813096	0.44985408	null
"GO:0048863"	"stem cell differentiation"	48863	-1.89004912428925	4.07081335970272	0.0390244937550034	0.768610023556848	0.50257831	1709
"GO:0001763"	"morphogenesis of a branching structure"	-2.96556772166521	3.99882581904029	0.0330630630182578	0.701197961515722	0.47224843	null
"GO:0060347"	"heart trabecula formation"	60347	-1.8214260295257	2.74741180788642	0.00185009919416244	0.679953539471251	0.92624756	1763
"GO:0060560"	"developmental growth involved in morphogenesis"	60560	-1.93039414527361	4.02473188965525	0.0350955196598735	0.751481247127091	0.58436072	1763
"GO:0061383"	"trabecula morphogenesis"	61383	-1.8206688069836	3.27806733088866	0.00628635855220786	0.77308323981152	0.52755043	1763
"GO:0061384"	"heart trabecula morphogenesis"	61384	-2.19553226327646	3.14082218010931	0.00458214531600805	0.774535224835788	0.51828541	1763
"GO:0001822"	"kidney development"	-8.19839952844063	4.1789481851168	0.0500587771209041	0.651133442783162	0	null
"GO:0001570"	"vasculogenesis"	1570	-4.5140958252973	3.60292771285919	0.0132855689444604	0.666507256114699	0.74367894	1822
"GO:0001655"	"urogenital system development"	1655	-8.19839952844063	3.38881141347352	0.00811324861669443	0.719233673230213	0.50813711	1822
"GO:0001656"	"metanephros development"	1656	-2.36153443485624	3.51732788229437	0.0109082909476603	0.677316658482616	0.90087895	1822
"GO:0001657"	"ureteric bud development"	1657	-2.9979864710874	3.55545721720465	0.0119095991136765	0.655440325888761	0.90563489	1822
"GO:0001701"	"in utero embryonic development"	1701	-2.52039276806191	4.16226561429802	0.0481722064372511	0.690434617324605	0.81654308	1822
"GO:0001823"	"mesonephros development"	1823	-2.7695898627835	3.58467038446435	0.0127384966021005	0.674793322448086	0.90931274	1822
"GO:0001889"	"liver development"	1889	-1.8414138176872	3.8692904042094	0.0245353656573514	0.67862734402873	0.61879226	1822
"GO:0001945"	"lymph vessel development"	1945	-2.90907807801262	3.3155505344219	0.0068533244342899	0.697780616716678	0.71523248	1822
