TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000280"	"nuclear division"	-7.47493628318314	4.8550525079096	0.237469183663624	0.904492495387239	0.44153133	null
"GO:0001503"	"ossification"	-2.566162024104	4.18301346308193	0.050529590894329	0.782551313152203	0.48045603	null
"GO:0001666"	"response to hypoxia"	-2.42454955781426	4.03770531313554	0.03615982403501	0.967702694474994	0.39029286	null
"GO:0001667"	"ameboidal-type cell migration"	-5.14346841961076	4.12241249541128	0.0439481448362422	0.968240914293487	0.00693659	null
"GO:0001709"	"cell fate determination"	-1.95240289175683	3.48911436937892	0.0102219638272452	0.784818734813096	0.44985408	null
"GO:0001763"	"morphogenesis of a branching structure"	-2.96556772166521	3.99882581904029	0.0330630630182578	0.701197961515722	0.47224843	null
"GO:0001822"	"kidney development"	-8.19839952844063	4.1789481851168	0.0500587771209041	0.651133442783162	0	null
"GO:0001894"	"tissue homeostasis"	-4.67702149576778	4.00940839915187	0.033878698146867	0.778776688183548	0.45340282	null
"GO:0003018"	"vascular process in circulatory system"	-4.85645247531193	4.38655246876185	0.0807412465524081	0.762836505818209	0.48015051	null
"GO:0003158"	"endothelium development"	-4.77046834440679	3.60648885044265	0.0133949834129324	0.755100537425836	0.44641603	null
"GO:0006260"	"DNA replication"	-4.31753554745543	5.63599213665359	1.43400923292334	0.977639257223818	0.00966846	null
"GO:0007059"	"chromosome segregation"	-8.19796139805687	5.12179284976012	0.438884642170757	0.892236714948506	0.00852754	null
"GO:0007088"	"regulation of mitotic nuclear division"	-9.39314715738198	4.21338492491639	0.0541900022032095	0.718176771551584	0	null
"GO:0007189"	"adenylate cyclase-activating G protein-coupled receptor signaling pathway"	-2.0112181753753	3.90509396832787	0.0266440808679021	0.854273874654792	0.31614915	null
"GO:0010517"	"regulation of phospholipase activity"	-2.22297518548934	3.27346427262135	0.00622004675313394	0.873740750788093	0.12356003	null
"GO:0010810"	"regulation of cell-substrate adhesion"	-5.05067632824641	4.00834462925269	0.0337958083980246	0.858126221198313	0.16098737	null
"GO:0016055"	"Wnt signaling pathway"	-2.35022416839419	4.72444791446434	0.175792579344969	0.827636709935738	0.24699074	null
"GO:0018108"	"peptidyl-tyrosine phosphorylation"	-2.7695898627835	4.97737603065493	0.314725745174698	0.983181838794346	0.11935679	null
"GO:0018126"	"protein hydroxylation"	-2.60195710940932	4.00034729668536	0.0331791086666372	0.990797546181577	0.32157358	null
"GO:0021700"	"developmental maturation"	-1.8214260295257	4.32647923638096	0.0703104005580801	0.770418491436302	0.47899036	null
"GO:0030198"	"extracellular matrix organization"	-13.8337684808894	4.47979118018949	0.100077767162364	0.923681535985284	0.40838919	null
"GO:0031032"	"actomyosin structure organization"	-4.12202852921377	3.97150778171126	0.0310471843264105	0.919060577651811	0.44956471	null
"GO:0031099"	"regeneration"	-2.02186954253	3.93490225832231	0.0285372827314626	0.774741360455833	0.46783783	null
"GO:0031589"	"cell-substrate adhesion"	-8.91628590619447	4.31376179629244	0.0682812595064181	0.980539407130148	0.00719356	null
"GO:0032963"	"collagen metabolic process"	-2.18927315671224	3.74950442387614	0.0186203531799575	0.998432578123199	0.02429221	null
"GO:0032970"	"regulation of actin filament-based process"	-2.76375288899024	4.82957391647268	0.22393826106259	0.85769415011612	0.19365152	null
"GO:0034329"	"cell junction assembly"	-4.86823566046718	4.2513705054967	0.0591434935940315	0.923051550518998	0.39054484	null
"GO:0034501"	"protein localization to kinetochore"	-2.94199058870962	3.46089784275655	0.00957873937622811	0.976642383699792	0.00617403	null
"GO:0040013"	"negative regulation of locomotion"	-2.76347427590344	4.19587198945933	0.0520481310931218	0.79587146366427	0.14952712	null
"GO:0042060"	"wound healing"	-8.23461286549098	4.47565666318247	0.0991295084356068	0.967428795347033	0	null
"GO:0042447"	"hormone catabolic process"	-2.18904548617512	2.76492298464989	0.00192635776309745	0.87973521666006	0.47456249	null
"GO:0043062"	"extracellular structure organization"	-13.8337684808894	4.48870579398179	0.102153326473378	0.93375830221518	0.40911872	null
"GO:0044857"	"plasma membrane raft organization"	-2.34889780377351	3.53630587235103	0.0113956826708536	0.940721190122211	0.34354817	null
"GO:0045229"	"external encapsulating structure organization"	-13.8337684808894	5.47962712876509	1.0004295346785	0.921902220995362	0	null
"GO:0045765"	"regulation of angiogenesis"	-5.19803253467773	4.26594928995062	0.0611626878758325	0.797926653528239	0.15114436	null
"GO:0045926"	"negative regulation of growth"	-2.38080733271206	4.06587835285739	0.0385835202911618	0.810870340547602	0.45560424	null
"GO:0046849"	"bone remodeling"	-2.47955980770265	3.48614699680657	0.0101523364382175	0.800699584743857	0.42086995	null
"GO:0048771"	"tissue remodeling"	-3.02270007845339	3.77713671250417	0.0198438058728713	0.793498729446299	0.43836243	null
"GO:0050000"	"chromosome localization"	-2.47955980770265	3.9516774373433	0.0296612677257656	0.979989591908117	0.15831289	null
"GO:0050673"	"epithelial cell proliferation"	-8.17770336018508	3.90735760813117	0.0267833356459573	0.975436326853832	0.00666884	null
"GO:0050678"	"regulation of epithelial cell proliferation"	-6.78225258123734	4.18746431529292	0.0510501385170593	0.855629781174535	0.16538474	null
"GO:0050817"	"coagulation"	-3.95832343062198	4.36466354089477	0.0767724853778338	0.777272209045904	0.49451592	null
"GO:0050878"	"regulation of body fluid levels"	-6.03755813313098	4.55464661620637	0.118903686919451	0.850017560645841	0.14913473	null
"GO:0051145"	"smooth muscle cell differentiation"	-3.85999776282737	3.20384846374623	0.00529831274600641	0.780339722853772	0.42268196	null
"GO:0051302"	"regulation of cell division"	-3.02270007845339	4.52850533914635	0.111957525966457	0.864061594191441	0.17445749	null
"GO:0051383"	"kinetochore organization"	-3.9503065466322	3.93166123968448	0.028325084974426	0.918436832057064	0.44666209	null
"GO:0051782"	"negative regulation of cell division"	-2.18649749139256	3.34576569311449	0.00734734733739062	0.818355793250392	0.41136289	null
"GO:0060021"	"roof of mouth development"	-2.40231663045017	3.58478337899651	0.0127418121920542	0.784356434051839	0.44506902	null
"GO:0070371"	"ERK1 and ERK2 cascade"	-1.86691309671868	3.29534714833362	0.00654165897864246	0.862620708659454	0.28836204	null
"GO:0071695"	"anatomical structure maturation"	-2.10002506294863	4.25379822986825	0.0594750525894012	0.765217164220166	0.49070017	null
"GO:0072577"	"endothelial cell apoptotic process"	-1.8214260295257	2.54406804435028	0.00115714089383995	0.997375540886971	0.005357	null
"GO:0072593"	"reactive oxygen species metabolic process"	-2.16067552151309	4.89392258208641	0.25970352989311	0.993613072700892	0.06262366	null
"GO:0090130"	"tissue migration"	-4.13347980617938	3.82458137623348	0.0221348785308754	0.792275598310866	0.44135307	null
"GO:1903034"	"regulation of response to wounding"	-5.5103478688452	4.03229634473947	0.035712219391261	0.832176576199452	0.14588345	null
"GO:1990778"	"protein localization to cell periphery"	-1.91776192432897	4.13751235312213	0.0455031565245257	0.980143657382088	0.39952068	null
"GO:1990845"	"adaptive thermogenesis"	-1.93607076867338	2.90254677931399	0.00264584078304951	0.998598539150731	0.02108614	null
"GO:2000352"	"negative regulation of endothelial cell apoptotic process"	-1.97970142272343	3.13097669160562	0.00447936202744347	0.825959950502475	0.39977963	null
"GO:2000573"	"positive regulation of DNA biosynthetic process"	-3.25382694493457	3.67970038087196	0.0158551511585749	0.815893617364515	0.15349855	null
"GO:2001212"	"regulation of vasculogenesis"	-2.41328258070709	2.78318869107526	0.00200924751193985	0.860889475895339	0.47475996	null
